PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Baskan, O				Baskan, Ozgur			Harmony search algorithm for continuous network design problem with link capacity expansions	KSCE JOURNAL OF CIVIL ENGINEERING												The Continuous Network Design Problem (CNDP) deals with determining the set of link capacity expansions and the corresponding equilibrium link flows which minimizes the system performance index defined as the sum of total travel times and investment costs of link capacity expansions. In general, the CNDP is characterized by a bilevel programming model, in which the upper level problem is generally to minimize the total system cost under limited expenditure, while at the lower level problem, the User Equilibrium (UE) link flows are determined by Wardrop's first principle. It is well known that bilevel model is nonconvex and algorithms for finding global or near global optimum solutions are preferable to be used in solving it. Furthermore, the computation time is tremendous for solving the CNDP because the algorithms implemented on real sized networks require solving traffic assignment model many times. Therefore, an efficient algorithm, which is capable of finding the global or near global optimum solution of the CNDP with less number of traffic assignments, is still needed. In this study, the Harmony Search (HS) algorithm is used to solve the upper level objective function and numerical calculations are performed on eighteen link and Sioux Falls networks. The lower level problem is formulated as user equilibrium traffic assignment model and Frank-Wolfe method is used to solve it. It has been observed that the HS algorithm is more effective than many other compared algorithms on both example networks to solve the CNDP in terms of the objective function value and UE traffic assignment number.					Baskan, O/B-4169-2014	Baskan, O/0000-0001-5016-8328													1226-7988	1976-3808				JAN	2014	18	1					273	283		10.1007/s12205-013-0122-6	http://dx.doi.org/10.1007/s12205-013-0122-6													WOS:000329104300033
J	Gan, M; Chen, S; Yan, Y				Gan, Mi; Chen, Si; Yan, Ying			The effect of roadway capacity expansion on facility sitting	APPLIED MATHEMATICS & INFORMATION SCIENCES												Generally, the transportation planning problem involves with facility sitting, roadway selection, distribution route planning and some related problems, which are optimized based on given network topology. Recently, some of researches noticed that by changing the network topology, which corresponding to adding a decision whether new roadway construction between node-pairs in the given transportation network, is often more cost-effective than only sitting new facilities in given networks. Motivated by aforementioned topology changing result, this paper not only consider about new roadway construction, but also merge the roadway capacity expansion decision into transportation network design problem. The models generated from an integrated model for transportation network design and uncapacitated facility location problem. Then we merge the roadway capacity expansion part and facility capacity decision part into the original model. Mixed integrated programming and network transform mechanism for such models are proposed. Lastly, we measure the effect of roadway capacity expansion on facility sitting. The numerical testing with random generated data shows the feasible and effective of models. In conclusion part, the application in real case of proposed models and algorithms are identified.					Gan, Mi/JQW-1904-2023														1935-0090	2325-0399				JUN	2013	7	2			SI		575	581		10.12785/amis/072L30	http://dx.doi.org/10.12785/amis/072L30													WOS:000326144500030
J	Xuan, XF; Cheng, ZQ; Zhang, ZW; Le, C				Xuan, Xuefei; Cheng, Zhiqun; Zhang, Zhiwei; Le, Chao			Design of a 0.4-3.9-GHz Wideband High-Efficiency Power Amplifier Based on a Novel Bandwidth Extended Matching Network	IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS												The design of a multi-octave power amplifier (PA) is presented based on extended continuous Class-B/J (ECB/J) modes in this brief. The wide design space provided by the ECB/J modes has been used as the goal for the design. A unique bandwidth extended matching network that can achieve a broadband impedance matching in the appropriate impedance region by simultaneously manipulating six frequency points is proposed to compensate for the impedance dispersion effect caused by the change of the optimal impedance with the operating frequency in the design of the matching network. To verify the proposed methodology, a wideband PA is designed and fabricated by using a commercial 10-W gallium nitride (GaN) device. The implemented PA achieves a bandwidth of 163% from 0.4 to 3.9 GHz while exhibiting excellent performance of 38-42.3 dBm output power, 57-68% drain efficiency, and 10-13 dB gain. The measured adjacent channel power ratio (ACPR) is lower than-26 dBc at 0.8, 1.5, 2.0, 2.5, 3.0, and 3.5 GHz when the output power is lower than 36 dBm.					lin, lin/KFB-9548-2024; yang, le/KFB-5420-2024; lin, lin/KCZ-0185-2024; feng, yue/KHV-4687-2024; xuan, xuefei/JFJ-7458-2023	xuan, xuefei/0000-0002-3153-0413; Zhang, Zhiwei/0000-0001-8001-9606													1549-7747	1558-3791				AUG	2023	70	8					2809	2813		10.1109/TCSII.2023.3253551	http://dx.doi.org/10.1109/TCSII.2023.3253551													WOS:001043666500019
J	Chakraborty, M; Kumawat, HC; Dhavale, SV; Raj, AAB				Chakraborty, Mainak; Kumawat, Harish C.; Dhavale, Sunita Vikrant; Raj, Arockia Bazil A.			DIAT-RadHARNet: A Lightweight DCNN for Radar Based Classification of Human Suspicious Activities	IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT												Recognizing suspicious human activities is one of the critical requirements for national security considerations. Nowadays, designing the deep convolution neural network (DCNN) models suitable for micro-Doppler (m-D) signature-based human activity classification is rapidly growing. However, high computation cost and a huge number of parameters limit their direct/effective usability in field applications. This article introduces an m-D signatures' dataset "DIAT-mu RadHAR" covering army crawling, boxing, jumping while holding a gun, army jogging, army marching, and stone-pelting/grenade-throwing, generated using an X-band continuous wave (CW) radar. This article also introduces a lightweight DCNN model, "DIAT-RadHARNet," designed for those human suspicious activity classification. To reduce the computation cost and to improve the generalization ability, DIAT-RadHARNet is designed with four design principles: depthwise separable convolutions, channel weighting (CHW) based on the importance, different size filters in the depthwise part, and operating different size kernels on the same input tensor. The network has 213793 parameters with a total of 55 layers. Our extensive experimental analysis demonstrates that the DIAT-RadHARNet model efficiently classifies the activities with 99.22% accuracy, giving minimal false positive and false negative outcomes. The time complexity of the proposed DCNN model observed during the testing phase is 0.35 s. The same accuracy and time complexity are obtained even at adverse weather conditions, low-lighting environments, and long-range operations.					Chakraborty, Mainak/AAG-7509-2021; Chakraborty, Dr. Mainak/IXD-5317-2023; Kumawat, Harish Chandra/CAG-9610-2022	Chakraborty, Mainak/0000-0003-3188-3072; Kumawat, Harish Chandra/0000-0002-8830-8338; Dhavale, Sunita/0000-0003-0306-6198													0018-9456	1557-9662					2022	71								2505210	10.1109/TIM.2022.3154832	http://dx.doi.org/10.1109/TIM.2022.3154832													WOS:000770005800015
C	Zhang, YL; Zhang, J; Zhang, YK	Hu, Z	Li, W		Zhang, Ya-ling; Zhang, Jing; Zhang, Yi-kun	Hu, Z		An ID-based Broadcast Encryption Scheme for Collaborative Design	NSWCTC 2009: INTERNATIONAL CONFERENCE ON NETWORKS SECURITY, WIRELESS COMMUNICATIONS AND TRUSTED COMPUTING, VOL 2, PROCEEDINGS					International Conference on Networks Security, Wireless Communications and Trusted Computing	APR 25-26, 2009	Wuhan, PEOPLES R CHINA	Huazhong Univ, Sci & Technol, Univ Ukraine, Natl Tech, Huazhong Normal Univ, Harbin Inst Technol, IEEE Ukraine Sect, I & M/CI Joint Chapter				Collaborative design is one of core processes for networked manufacturing, so how to safely transfer design information in the network has important significance. In order to provide the confidentiality of transmission information on the level of design team in collaborative design system, a new broadcast encryption scheme based on designer's identity is presented. The new scheme is based on broadcast encryption theory. By introducing master key of design teams and distributing the public and secret parameters reasonably, every designer can encrypt design documents and transmit them expediently. The encrypted document can be decrypted only by the members of the designated design team. In the new scheme the private key escrow problem of M.-based public key system is solved. Analysis shows that the new scheme is secure under the discrete logarithm assumption and users out of the designated design team can't decrypt the documents. The new scheme can be used in the collaborative design system to protect the security of design information.																					978-0-7695-3610-1				2009							699	702		10.1109/NSWCTC.2009.346	http://dx.doi.org/10.1109/NSWCTC.2009.346													WOS:000269060000175
C	Han, GT; Zhang, JK; Mu, XM			IEEE	Han, Gangtao; Zhang, Jian-Kang; Mu, Xiaomin			Joint Optimization of Energy Harvesting and Detection Threshold for Energy Harvesting Cognitive Radio Networks	2016 IEEE/CIC INTERNATIONAL CONFERENCE ON COMMUNICATIONS IN CHINA (ICCC)	IEEE International Conference on Communications in China				IEEE/CIC International Conference on Communication in China (ICCC)	JUL 27-29, 2016	Chengdu, PEOPLES R CHINA	IEEE, CIC				Both spectrum efficiency and energy efficiency are two critical issues in the design of wireless communication networks. Energy harvesting cognitive radio networks have been recently proposed to attempt to solve both the issues simultaneously. In this paper, we consider a cognitive radio network in which the secondary transmitter equipped with an energy harvesting device is allowed to opportunistically access the primary channel. Here, we assume that energy arrival process and primary channel state are random process and twostate time-homogeneous discrete Markov process, respectively. By using the average throughput for the secondary network as a design criterion and jointly optimizing energy harvesting and spectrum sensing, we achieve both the energy efficiency and the spectrum efficiency. In addition, the corresponding optimal detection threshold and the maximum achievable throughput are obtained, which are substantiated by our comprehensive computer simulations.					Zhang, Jiankang/C-7823-2011														2377-8644						2016																								WOS:000386661200141
J	Li, R; Yang, M; Chu, TG				Li, Rui; Yang, Meng; Chu, Tianguang			State feedback stabilization for probabilistic Boolean networks	AUTOMATICA												A probabilistic Boolean network (PBN) is a discrete-time system composed of a family of Boolean networks (BNs) between which the PBN switches in a stochastic fashion. Studying control-related problems in PBNs may provide new insights into the intrinsic control in biological systems and enable us to develop strategies for manipulating complex biological systems using exogenous inputs. This paper investigates the problem of state feedback stabilization for PBNs. Based on the algebraic representation of logic functions, a necessary and sufficient condition is derived for the existence of a globally stabilizing state feedback controller, and a control design method is proposed when the presented condition holds. It is shown that the controller designed via the proposed procedure can simultaneously stabilize a collection of PBNs that are composed of the same constituent BNs. (C) 2014 Elsevier Ltd. All rights reserved.																			0005-1098	1873-2836				APR	2014	50	4					1272	1278		10.1016/j.automatica.2014.02.034	http://dx.doi.org/10.1016/j.automatica.2014.02.034													WOS:000335628300032
J	GUHA, A				GUHA, A			CONTINUOUS PROCESS-CONTROL USING NEURAL NETWORKS	JOURNAL OF INTELLIGENT MANUFACTURING												We present some adaptive control strategies based on neural networks that can be used for designing controllers for continuous process control problems. Specifically, a learning algorithm has been formulated based on reinforcement learning, a weakly supervised learning technique, to solve set-point control and control scheduling for continuous processes where the process cannot be modeled easily. It is shown how reinforcement learning can be used to learn the control strategy adaptively based on exploration of the control space without making assumptions about the process model. A new learning scheme, 'handicapped learning', was developed to learn a control schedule that specifies a schedule of set points. Applications studied include the control of a nonisothermal continuously stirred tank reactor at its unstable state and the learning of the daily time-temperature schedule for an environment controller. Experimental results demonstrate good learning performance, indicating that the learning algorithm can be used for solving transient startup and boundary value control problems.																			0956-5515	1572-8145				AUG	1992	3	4					217	228		10.1007/BF01473899	http://dx.doi.org/10.1007/BF01473899													WOS:A1992JG77300004
C	Wang, G; Xu, HK; Huang, ZH; Yin, Y; Mu, CL		Xu, B		Wang, Ge; Xu, Hongkun; Huang, Zihan; Yin, Yin; Mu, Changli			Design of networked monitor system for environmental radioactive aerosol	PROCEEDINGS OF 2018 IEEE 4TH INFORMATION TECHNOLOGY AND MECHATRONICS ENGINEERING CONFERENCE (ITOEC 2018)					IEEE 4th Information Technology and Mechatronics Engineering Conference (ITOEC)	DEC 14-16, 2018	Chongqing, PEOPLES R CHINA	IEEE, IEEE Harbin Sect, Global Union Acad Sci & Technol, Chongqing Global Union Acad Sci & Technol, Chongqing Geeks Educ Technol Co Ltd				This paper described a networked continuous monitor system for environmental radioactive aerosol, which is composed of some radioactive aerosol continuous monitor devices and central management server. The monitor devices can be remotely controlled by the central management server and transmit the measured data to the central management server through internet with the TCP/IP protocol in the system. This system is used to continuous measure and monitor the content of radioactive aerosol (uranium, plutonium and beta.), which is harmful to human health after being inhaled by human body, in the atmosphere. If the content of radioactive aerosol in the surrounding environment exceeds the standard, the system will give an alarm in time to remind people to take action as early as possible. Because of the networked monitor system, people can remote control the monitor devices and remote measure the content of the radioactive aerosol, which can keep the surveyors away from the potentially dangerous measurement sites and can achieve 24 hours unattended continuous monitoring.																					978-1-5386-5373-9				2018							606	610																WOS:000491408500118
J	Galimberti, C; Chirico, A; Brivio, E; Gatti, F; Mazzoni, E; Riva, G; Milani, L; Mazzoleni, C; Albertini, E; Gaggioli, A				Galimberti, Carlo; Chirico, Alice; Brivio, Eleonora; Gatti, Fabiana; Mazzoni, Elvis; Riva, Giuseppe; Milani, Luca; Mazzoleni, Carla; Albertini, Elisa; Gaggioli, Andrea			Networked Flow in Blended Learning Settings: a Longitudinal Mixed-Method Study	ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE												We investigated the process of Networked Flow (NF) in 10 self-selected learning teams (graduate students enrolled in an academic course on Enterprise Communication) collaborating in blended settings. The NF model suggests that teams reach maximum group creativity when participants experience high levels of flow and social presence. Moreover, the model predicts that emergence of NF is associated with specific group structural dynamics. The research protocol consisted in a longitudinal mixed-method design, which integrated: (i) the analysis of experiential features of collaborative experience (flow, social presence); (ii) the analysis of communicative interaction; (iii) the structural features of collaboration dynamics (social network indexes). Preliminary findings suggest the feasibility and potential usefulness of integrating quali-quantitative methods for the investigation of NF in creative collaboration settings.					; Riva, Giuseppe/C-5917-2008	GATTI, Fabiana Maria/0000-0003-2231-3473; Riva, Giuseppe/0000-0003-3657-106X; CHIRICO, Alice/0000-0002-4587-0232													1554-8716	2352-927X				SUM	2016	14						39	44																WOS:000393453500007
