PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Hu, XZ; Wang, HW; Wu, XT; Zhou, M; Dong, HR			IEEE	Hu, Xingzhu; Wang, Hongwei; Wu, Xingtang; Zhou, Min; Dong, Hairong			An integrated optimization approach of high-speed railway line plan to network load-balancing	2020 CHINESE AUTOMATION CONGRESS (CAC 2020)	Chinese Automation Congress				Chinese Automation Congress (CAC)	NOV 06-08, 2020	Shanghai, PEOPLES R CHINA	IEEE, CAA, IEEE Syst, Man, & Cybernet Soc				With the continuous expansion of China's high-speed railway (HSR) network, the necessity of studying operating performance from the network perspective becomes prominent. To improve the economic benefits, social benefits and operating performance with constraints of limited transport resources, this paper presents a mixed-integer nonlinear optimization model of HSR line planning problem, integrating operation route plan, train stop plan and passenger distribution plan. Moreover, a two-stage hybrid heuristic search algorithm is designed to solve this model. Finally, numerical experiments are implemented to demonstrate the performance of the proposed approach.					Wang, Huiwen/JED-3206-2023; wang, hw/HZH-3227-2023; WANG, HONGWEI/D-6507-2016	Dong, Hairong/0000-0002-7255-2950													2688-092X	2688-0938	978-1-7281-7687-1				2020							1035	1040		10.1109/CAC51589.2020.9327177	http://dx.doi.org/10.1109/CAC51589.2020.9327177													WOS:000678697001022
J	Carapezzi, S; Boschetto, G; Delacour, C; Corti, E; Plews, A; Nejim, A; Karg, S; Todri-Sanial, A				Carapezzi, Stefania; Boschetto, Gabriele; Delacour, Corentin; Corti, Elisabetta; Plews, Andrew; Nejim, Ahmed; Karg, Siegfried; Todri-Sanial, Aida			Advanced Design Methods From Materials and Devices to Circuits for Brain-Inspired Oscillatory Neural Networks for Edge Computing	IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS												In this paper, we assess an innovative concept of emulating biological neurons with oscillators to implement an oscillatory neural network (ONN) with beyond-CMOS devices based on vanadium dioxide (VO2). ONNs can be of interest as an ultra-low-power neuromorphic architecture capable of performing associative memory tasks, such as pattern recognition in IoT edge devices. To explore the benefits and costs of beyond-CMOS ONNs necessitates modeling, simulation, and design methods spanning from materials (e.g., atomistic methods) to devices (e.g., technology-computer-aided-design, TCAD) up to circuits (e.g., mixed-mode simulation, compact modeling). In this work, we report on the development of such an advanced design toolbox and the results on performance and features of beyond-CMOS ONNs. The proposed design toolbox allows exploring ONN scalability, accuracy, energy, and performance for pattern recognition applications.					; Todri-Sanial, Aida/M-5156-2013; Carapezzi, Stefania/Q-7779-2017	Karg, Siegfried/0000-0001-9873-2717; Todri-Sanial, Aida/0000-0001-8573-2910; nejim, ahmed/0000-0001-7656-5874; Corti, Elisabetta/0000-0003-4578-7639; Delacour, Corentin/0000-0001-6386-9588; Boschetto, Gabriele/0000-0001-8830-3572; Carapezzi, Stefania/0000-0002-9271-1189													2156-3357	2156-3365				DEC	2021	11	4					586	596		10.1109/JETCAS.2021.3128756	http://dx.doi.org/10.1109/JETCAS.2021.3128756													WOS:000730514000009
J	Garstecki, P; Fischbach, MA; Whitesides, GM				Garstecki, P; Fischbach, MA; Whitesides, GM			Design for mixing using bubbles in branched microfluidic channels	APPLIED PHYSICS LETTERS												This letter describes a method for producing chaotic transport trajectories in planar, microfluidic networks prepared by standard, single-step lithography and operated with a steady-state inflow of the fluids into the device. Gaseous slugs flowing through the network produce temporal variation of pressure distribution and lead to stretching and folding of the continuous fluid. Stabilization of the bubbles by surface-active agents is not necessary, and the method is compatible with the wide range of reactions performed in on-chip bioassays. (c) 2005 American Institute of Physics.					Garstecki, Piotr/ABA-9188-2020	Garstecki, Piotr/0000-0001-9101-7163; Fischbach, Michael/0000-0003-3079-8247													0003-6951	1077-3118				JUN 13	2005	86	24							244108	10.1063/1.1946902	http://dx.doi.org/10.1063/1.1946902													WOS:000229700700070
J	Lu, CY; Shyr, WJ; Yao, KC; Liao, CW; Huang, CK				Lu, Chien-Yu; Shyr, Wen-Jye; Yao, Kai-Chao; Liao, Chin-Wen; Huang, Chuan-Kuei			DELAY-DEPENDENT <i>H</i><sub>∞</sub> CONTROL FOR DISCRETE-TIME UNCERTAIN RECURRENT NEURAL NETWORKS WITH INTRERVAL TIME-VARYING DELAY	INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING INFORMATION AND CONTROL												This paper deals with the problem of delay-dependent robust H-infinity control for discrete-time recurrent neural networks (DRNNs) with norm-bounded parameter uncertainties and interval time-varying delay. The activation functions are assumed to be globally Lipschitz continuous. For the robust stabilization problem, a state feedback controller is designed to ensure global robust stability of the closed-loop system about its equilibrium point for all admissible uncertainties, while for the robust H-infinity control problem attention is focused on the design of a state feedback controller Such that in addition to the requirement of the global robust stability, a prescribed H-infinity performance level for all delays to satisfy both the lower bound and upper bound of the interval time-varying delay is also required to be achieved. A linear matrix inequality approach is developed to solve these problems. It is shown that the desired state feedback controller can be constructed by solving certain LMIs. A numerical example is provided to demonstrate the effectiveness and applicability of the proposed results.					Shyr, Wen-Jye/I-4681-2019	Shyr, Wen-Jye/0000-0002-1683-7214													1349-4198	1349-418X				OCT	2009	5	10B			SI		3483	3493																WOS:000271033100019
J	Shi, Y; Chong, W; Zhao, WH; Li, S; Li, B; Sun, XB				Shi, Yang; Chong, Wei; Zhao, Wenhan; Li, Shuai; Li, Bin; Sun, Xiaobing			A new recurrent neural network based on direct discretization method for solving discrete time-variant matrix inversion with application	INFORMATION SCIENCES												In recent years, many researchers have worked hard to find a better way for solving discrete time -variant problems in industrial control science and automation. For example, some researchers propose RNN models to deal with such problems. Typical discrete time-variant problems, such as discrete time-variant matrix inversion, are developed from continuous time-variant problems. In the present paper, an efficient and straightforward method is proposed to solve discrete time-variant matrix inversion, note that it can skip the solving procedures of continuous time -variant problem and solves matrix inversion directly in the discrete time-variant environment. Specifically, an innovative discrete time-variant recurrent neural network (I-DT-RNN) model for dealing with discrete time-variant matrix inversion is proposed, furthermore it is mathematically founded on the second-order Taylor expansion. The theoretical analysis results of I-DT-RNN model are also presented, which proves that the proposed I-DT-RNN model has a reasonable characteristic and also shows that the proposed I-DT-RNN model has an excellent computational performance. Moreover, in the numerical experiments part, we present three different matrices as numerical experiment examples and an application of two-link robot manipulator as an industrial example for validating the practicability of the I-DT-RNN model.						Shi, Yang/0000-0003-3014-7858													0020-0255	1872-6291				JAN	2024	652								119729	10.1016/j.ins.2023.119729	http://dx.doi.org/10.1016/j.ins.2023.119729		OCT 2023											WOS:001098942300001
C	Brueckman, C; Eberhardt, E; Rogers, S		Benardos, A; Anagnostou, G; Marinos, VP		Brueckman, C.; Eberhardt, E.; Rogers, S.			Reliability analysis of discrete fracture network projections from borehole to shaft scale discontinuity data	PROCEEDINGS OF THE ITA-AITES WORLD TUNNEL CONGRESS 2023, WTC 2023: Expanding Underground-Knowledge and Passion to Make a Positive Impact on the World					ITA-AITES World Tunnel Congress (WTC) / 49th General Assembly of the International-Tunnelling-and-Underground-Space-Association (ITA-AITES)	MAY 12-18, 2023	Athens, GREECE	Int Tunnelling & Underground Space Assoc				Discrete fracture network (DFN) models allow discontinuity data to be stochastically quantified and used to represent a jointed and faulted rock mass, providing a means to assess potential failure modes for a planned tunnel and the corresponding excavation methods and support design. Required inputs are generally obtained from borehole data to obtain representative values at the tunnel depth, but with limited opportunities for ground truthing and validation. Results are presented from a validation exercise comparing DFN results from discontinuity data sampled across two different spatial scales, first from a deep geotechnical borehole followed by a co-located deep shaft. The results indicate that both under- and over-sampling of different discontinuity sets occurs due to orientation bias and trace visibility. The corrections and workflow developed demonstrate the utility of continuous data collection and updating of DFN analyses as projects transition from investigation and design to construction.																					978-1-003-34803-0				2023							235	243		10.1201/9781003348030-29	http://dx.doi.org/10.1201/9781003348030-29													WOS:001150380200029
J	Chang, CL; Lin, QC; Liao, ZW; Wang, JD; Yang, YR				Chang, Chenglin; Lin, Qucheng; Liao, Zuwei; Wang, Jingdai; Yang, Yongrong			Globally optimal design of refinery hydrogen networks with pressure discretization	CHEMICAL ENGINEERING SCIENCE												The design of refinery hydrogen networks minimizing the total annualized cost is a computationally hard optimization problem. This is mainly due to the highly nonlinear compression power constraint and the nonconvexities of the problem. To decrease the nonlinearities, we propose in this work a concept of pres -sure discretization, and therein the pressure variables of new makeup compressors make discrete choices among the specified pressures of hydrogen origin and destination units. Based on this concept, the con-straint of compression power is linearized without losing rigors. Then, hydrogen networks design is for-mulated as a mixed integer nonlinear programming model that is applicable to both grass-roots synthesis and retrofit problems. We develop a global optimization algorithm to solve the proposed model to global optimality. Two grass-roots synthesis and three retrofit examples are tested for illustration purposes. The total annualized cost and computing time of our solutions compare favorably to those of literature solutions. (c) 2021 Elsevier Ltd. All rights reserved.					Wang, Jin/GYA-2019-2022; wang, juan/IUO-6218-2023; Wang, Jing/IQW-3496-2023; wang, jing/HJA-5384-2022; Wu, Jing/GZK-5063-2022; jing, wang/KCZ-2144-2024; wang, jian/HRB-9588-2023; Liao, Zuwei/B-9180-2013; wang, xu/IAN-4886-2023; Liao, Zuwei/ABB-9168-2021; wang, jie/HTQ-4920-2023	Wang, Jing/0000-0002-8296-2961; Liao, Zuwei/0000-0001-9063-1049; Lin, Qucheng/0000-0002-8946-4930													0009-2509	1873-4405				JAN 16	2022	247								117021	10.1016/j.ces.2021.117021	http://dx.doi.org/10.1016/j.ces.2021.117021		AUG 2021											WOS:000703176700008
J	Szilagyi, B; Pal, K; Tabar, IB; Nagy, ZK				Szilagyi, Botond; Pal, Kanjakha; Tabar, Iman Beheshti; Nagy, Zoltan K.			A Novel Robust Digital Design of a Network of Industrial Continuous Cooling Crystallizers of Dextrose Monohydrate: From Laboratory Experiments to Industrial Application	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH												This paper presents the first-ever industrial application of the digital design of a complex, large-scale industrial continuous crystallization network. The aim of the work is to optimize a large-scale continuous crystallization network used for the purification of dextrose monohydrate, by introducing a novel robust model-based digital design framework with the objective to minimize the fine index of the product size distribution, by re-adjusting the key operating parameters such as feed concentration, cooling profile, and recirculation strategy, for the current process as well as for the technically feasible configurations. The system consists of a complex network of over 40 large-scale continuous crystallizers operated in parallel as well as in cascade of multiple stages. The product quality attribute is the fine index, which represents the mass fraction of crystals under 75 mu m. The considered crystallization mechanisms are secondary nucleation and crystal growth, also accounting for growth inhibition by higher polymerization degree sugars. The nucleation and growth rate parameters were re-estimated based on laboratory-scale crystallization experiments. Uncertainty analysis and robust optimization were performed to provide design and operating condition recommendations, and the key outcomes were validated using scaled-down laboratory experiments. The optimizations and the experimental results revealed that, under the investigated conditions, the crystal fine index can be improved more significantly by applying recirculation from the last stage to the first-level crystallizers of the cascade, than by adding more active volume or increase residence time. The results aligned well with the company's process experience, including observations in another plant, and gave enough technical support to initiate the change in current operating conditions of the industrial system.					Szilagyi, Botond/AAD-8754-2020	Szilagyi, Botond/0000-0001-7777-9612; Nagy, Zoltan/0000-0003-4787-6678													0888-5885					DEC 23	2020	59	51					22231	22246		10.1021/acs.iecr.0c04870	http://dx.doi.org/10.1021/acs.iecr.0c04870													WOS:000603392000018
J	Liu, QW; Yan, HC; Zhang, H; Zhan, XS; Shi, KB				Liu, Qiwei; Yan, Huaicheng; Zhang, Hao; Zhan, Xisheng; Shi, Kaibo			Intermittent Exponential Synchronization for Memristor-Based Neural Networks With Inertial Items and Mixed Time-Varying Delays	IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS												This article investigates the exponential synchronization problem for a class of memristor-based neural networks with mixed time-varying delays and parameter perturbations, and inertial items are considered (MINNs). A periodically intermittent control protocol is designed to guarantee the exponential synchronization between two MINNs. Then, by adopting nonsmooth analysis, Halanay inequality, and Lyapunov theory, the exponential synchronization criteria for MINNs under the proposed controller are obtained. Furthermore, instead of the reduced-order method, the synchronization of MINNs is considered under the framework of the second-order system directly, which is different from existing literature. Some numerical simulations are presented to show the validity of the proposed criteria in the end.						Shi, Kaibo/0000-0002-9863-9229; Zhan, xisheng/0000-0002-0945-4362													2168-2216	2168-2232				MAY	2023	53	5					2925	2937		10.1109/TSMC.2022.3220979	http://dx.doi.org/10.1109/TSMC.2022.3220979		DEC 2022											WOS:000896609400001
J	Wang, XS; Li, TY; Cheng, YH; Chen, CLP				Wang, Xuesong; Li, Tianyi; Cheng, Yuhu; Chen, C. L. Philip			Inference-Based Posteriori Parameter Distribution Optimization	IEEE TRANSACTIONS ON CYBERNETICS												Encouraging the agent to explore has always been an important and challenging topic in the field of reinforcement learning (RL). Distributional representation for network parameters or value functions is usually an effective way to improve the exploration ability of the RL agent. However, directly changing the representation form of network parameters from fixed values to function distributions may cause algorithm instability and low learning inefficiency. Therefore, to accelerate and stabilize parameter distribution learning, a novel inference-based posteriori parameter distribution optimization (IPPDO) algorithm is proposed. From the perspective of solving the evidence lower bound of probability, we, respectively, design the objective functions for continuous-action and discrete-action tasks of parameter distribution optimization based on inference. In order to alleviate the overestimation of the value function, we use multiple neural networks to estimate value functions with Retrace, and the smaller estimate participates in the network parameter update; thus, the network parameter distribution can be learned. After that, we design a method used for sampling weight from network parameter distribution by adding an activation function to the standard deviation of parameter distribution, which achieves the adaptive adjustment between fixed values and distribution. Furthermore, this IPPDO is a deep RL (DRL) algorithm based on off-policy, which means that it can effectively improve data efficiency by using off-policy techniques such as experience replay. We compare IPPDO with other prevailing DRL algorithms on the OpenAI Gym and MuJoCo platforms. Experiments on both continuous-action and discrete-action tasks indicate that IPPDO can explore more in the action space, get higher rewards faster, and ensure algorithm stability.					ZHANG, XUCHEN/KBB-7989-2024														2168-2267	2168-2275				MAY	2022	52	5					3006	3017		10.1109/TCYB.2020.3023127	http://dx.doi.org/10.1109/TCYB.2020.3023127								33027029					WOS:000798227800039
