PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Aufiero, S; De Marzo, G; Sbardella, A; Zaccaria, A				Aufiero, Sabrina; De Marzo, Giordano; Sbardella, Angelica; Zaccaria, Andrea			Mapping job fitness and skill coherence into wages: an economic complexity analysis	SCIENTIFIC REPORTS												Leveraging the discrete skill and knowledge worker requirements of each occupation provided by O*NET, our empirical approach employs network-based tools from the Economic Complexity framework to characterize the US occupational network. This approach provides insights into the interplay between wages and the complexity or relatedness of the skill sets within each occupation, complementing conventional human capital frameworks. Our empirical strategy is threefold. First, we construct the Job and Skill Progression Networks, where nodes represent jobs (skills) and a link between two jobs (skills) indicates statistically significant co-occurrence of skills required to carry out those two jobs, that can be useful tools to identify job-switching paths and skill complementarities Second, by harnessing the Fitness and Complexity algorithm, we define a data-driven skill-based complexity measure of jobs that positively maps, but with interesting deviations, into wages and in the bottom-up and broad abstract/manual and routine/non-routine job characterisations, however providing a continuous and endogenous metric to assess the degree of complexity of each occupational skill-set. Third, building on relatedness and corporate coherence metrics, we introduce a measure of each job's skill coherence, that negatively maps into wages. Our findings may inform policymakers and employers on designing more effective labour market policies and training schemes, that, rather than fostering hyper-specialization, should favor the acquisition of complex and "uncoherent" skill sets, enabling workers to more easily move throughout the job and skill progression networks and make informed career choices decisions while unlocking higher wage opportunities.																			2045-2322					MAY 23	2024	14	1							11752	10.1038/s41598-024-61448-x	http://dx.doi.org/10.1038/s41598-024-61448-x								38783004					WOS:001230489600036
J	He, YM; Xing, LN; Chen, YW; Pedrycz, W; Wang, L; Wu, GH				He, Yongming; Xing, Lining; Chen, Yingwu; Pedrycz, Witold; Wang, Ling; Wu, Guohua			A Generic Markov Decision Process Model and Reinforcement Learning Method for Scheduling Agile Earth Observation Satellites	IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS												We investigate a general solution based on reinforcement learning for the agile satellite scheduling problem. The core idea of this method is to determine a value function for evaluating the long-term benefit under a certain state by training from experiences, and then apply this value function to guide decisions in unknown situations. First, the process of agile satellite scheduling is modeled as a finite Markov decision process with continuous state space and discrete action space. Two subproblems of the agile Earth observation satellite scheduling problem, i.e., the sequencing problem and the timing problem are solved by the part of the agent and the environment in the model, respectively. A satisfactory solution of the timing problem can be quickly produced by a constructive heuristic algorithm. The objective function of this problem is to maximize the total reward of the entire scheduling process. Based on the above design, we demonstrate that Q-network has advantages in fitting the long-term benefit of such problems. After that, we train the Q-network by Q-learning. The experimental results show that the trained Q-network performs efficiently to cope with unknown data, and can generate high total profit in a short time. The method has good scalability and can be applied to different types of satellite scheduling problems by customizing only the constraints checking process and reward signals.					Wu, Guohua/JMA-8934-2023; XING, Lining/GRO-1108-2022	Wu, Guohua/0000-0003-1552-9620; Wang, Ling/0000-0003-1226-2801; Xing, Lining/0000-0002-6983-4244; Wang, Ling/0000-0001-8964-6454													2168-2216	2168-2232				MAR	2022	52	3					1463	1474		10.1109/TSMC.2020.3020732	http://dx.doi.org/10.1109/TSMC.2020.3020732													WOS:000756835400018
J	Pahlavani, P; Delavar, MR; Frank, AU				Pahlavani, Parham; Delavar, Mahmoud R.; Frank, Andrew U.			Using a modified invasive weed optimization algorithm for a personalized urban multi-criteria path optimization problem	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION												The personalized urban multi-criteria quasi-optimum path problem (PUMQPP) is a branch of multi-criteria shortest path problems (MSPPs) and it is classified as a NP-hard problem. To solve the PUMQPP, by considering dependent criteria in route selection, there is a need for approaches that achieve the best compromise of possible solutions/routes. Recently, invasive weed optimization (IWO) algorithm is introduced and used as a novel algorithm to solve many continuous optimization problems. In this study, the modified algorithm of IWO was designed, implemented, evaluated, and compared with the genetic algorithm (GA) to solve the PUMQPP in a directed urban transportation network. In comparison with the GA, the results have shown the significant superiority of the proposed modified IWO algorithm in exploring a discrete search-space of the urban transportation network. In this regard, the proposed modified IWO algorithm has reached better results in fitness function, quality metric and running-time values in comparison with those of the GA. (C) 2012 Elsevier B.V. All rights reserved.					Pahlavani, Parham/B-2259-2018	Frank, Andrew/0000-0003-2737-9068													0303-2434					AUG	2012	18						313	328		10.1016/j.jag.2012.03.004	http://dx.doi.org/10.1016/j.jag.2012.03.004													WOS:000306198900031
J	Truong, VH; Vu, QV; Thai, HT; Ha, MH				Viet-Hung Truong; Quang-Viet Vu; Huu-Tai Thai; Manh-Hung Ha			A robust method for safety evaluation of steel trusses using Gradient Tree Boosting algorithm	ADVANCES IN ENGINEERING SOFTWARE												In this study, an efficient method is proposed for the safety evaluation of steel trusses using the gradient tree boosting (GTB) algorithm, one of the most powerful techniques in machine learning (ML). Datasets are first generated using the advanced analysis to consider both geometric and material nonlinearities of the structure. Four GTB models are then proposed to predict the ultimate load-carrying capacity and displacement of the structure for safety evaluation of strength and serviceability. Both continuous and discrete input variables are considered. To demonstrate the efficiency of the proposed method, four popular ML methods including support vector machines (SVM), decision tree (DT), random forest (RF), and deep learning (DL) are refereed in a comparison study. Three numerical examples of steel truss structures including a planar truss, a spatial truss, and a case study of planar truss bridge are considered in the comparative study. The numerical results show that the developed GTB models provide high accurate (more than 90%) regardless of the number of training data and design variable types and have the best performance in most considered cases.					Vu, Quang-Viet/AAG-6064-2020; Thai, Huu-Tai/C-1796-2012; Truong, Viet-Hung/AAE-5972-2019	Vu, Quang-Viet/0000-0002-4814-8835; Thai, Huu-Tai/0000-0002-4461-9548; Truong, Viet-Hung/0000-0002-1109-7667; Ha, Manh-Hung/0009-0007-2309-1434													0965-9978	1873-5339				SEP	2020	147								102825	10.1016/j.advengsoft.2020.102825	http://dx.doi.org/10.1016/j.advengsoft.2020.102825													WOS:000540838400002
J	Zhuang, GM; Xu, SY; Zhang, BY; Xia, JW; Chu, YM; Zou, Y				Zhuang, Guangming; Xu, Shengyuan; Zhang, Baoyong; Xia, Jianwei; Chu, Yuming; Zou, Yun			Unified filters design for singular Markovian jump systems with time-varying delays	JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS												This paper considers the problem of unified mode-dependent and mode-independent filters design for continuous-time singular systems with Markovian jumping parameters and time-varying delays. The main objective of this paper is to design the L-2-L-infinity, H-infinity, passivity, strict (Q, S, R)-dissipativity, very-strict passivity filters in a unified framework so as to ensure that the filter error system is stochastically admissible and extended dissipative. By tuning the weighting matrices, the extended dissipativity performance can reduce to the L-2-L-infinity performance, H-infinity performance, passivity, strict (Q, S, R)-dissipativity and very-strict passivity, respectively. A mode-dependent and delay-dependent stochastic Lyapunov-Krasovskii functional is proposed to reflect the information of Markovian jump modes and the time-varying delays, and a set of linear matrix inequalities (LMIs) are utilized to derive sufficient conditions which guarantee that the desired unified filters can be constructed. Three numerical examples including an oil catalytic cracking process (OCCP) are employed to verify the usefulness and effectiveness of the main results obtained. (C) 2016 Published by Elsevier Ltd. on behalf of The Franklin Institute					Xia, Jianwei/ABD-8057-2021; 夏, 建伟/ABE-2670-2021	夏, 建伟/0000-0002-5330-9349													0016-0032	1879-2693				OCT	2016	353	15					3739	3768		10.1016/j.jfranklin.2016.04.013	http://dx.doi.org/10.1016/j.jfranklin.2016.04.013													WOS:000381911300005
J	AlRashidi, MR; AlHajri, MF				AlRashidi, M. R.; AlHajri, M. F.			Optimal planning of multiple distributed generation sources in distribution networks: A new approach	ENERGY CONVERSION AND MANAGEMENT												An improved particle swarm optimization algorithm (PSO) is presented for optimal planning of multiple distributed generation sources (DG). This problem can be divided into two sub-problems: the DG optimal size (continuous optimization) and location (discrete optimization) to minimize real power losses. The proposed approach addresses the two sub-problems simultaneously using an enhanced PSO algorithm capable of handling multiple DG planning in a single run. A design of experiment is used to fine tune the proposed approach via proper analysis of PSO parameters interaction. The proposed algorithm treats the problem constraints differently by adopting a radial power flow algorithm to satisfy the equality constraints, i.e. power flows in distribution networks, while the inequality constraints are handled by making use of some of the PSO features. The proposed algorithm was tested on the practical 69-bus power distribution system. Different test cases were considered to validate the proposed approach consistency in detecting optimal or near optimal solution. Results are compared with those of Sequential Quadratic Programming. (C) 2011 Elsevier Ltd. All rights reserved.																			0196-8904	1879-2227				OCT	2011	52	11					3301	3308		10.1016/j.enconman.2011.06.001	http://dx.doi.org/10.1016/j.enconman.2011.06.001													WOS:000295244400006
C	Li, YJ; Sang, Y; Chen, W; Zhao, L		Khanna, S; Cao, J; Bai, Q; Xu, G		Li, Yujie; Sang, Yu; Chen, Wei; Zhao, Lei			Linking Check-in Data to Users on Location-aware Social Networks	PRICAI 2022: TRENDS IN ARTIFICIAL INTELLIGENCE, PT I	Lecture Notes in Computer Science				19th Pacific Rim International Conference on Artificial Intelligence (PRICAI)	NOV 10-13, 2022	Shanghai, PEOPLES R CHINA					Linking check-in data to their owners can benefit many downstream tasks, such as POI (Point of Interest) recommendation, destination prediction, and route planning, since we can obtain redundant information for each user after linking. Consequently, we formulate and investigate the novel problem CUL (Check-in-User Linking) in this work. Notably, the main difference between CUL and the existing problem TUL (Trajectory-User Linking) is that the trajectories used in TUL are continuous, while the check-in records in CUL are discrete. To tackle the problem CUL effectively, we develop a model entitled CULVAE (Check-in-User Linking via Variational Autoencoder). Firstly, a well-designed grid index is applied to organize the input check-in records. Then, an encoding module is developed to embed a user with corresponding grids. Next, a decoding module is proposed to generate a low-dimensional representation of each user. Finally, a multi-class classifier is proposed to link check-in records to users based on the output of the decoding module. We conduct extensive experiments on four real-world datasets, and the results demonstrate that our proposed model CULVAE performs better than all state-of-art approaches.						li, yu jie/0000-0002-9924-6136													0302-9743	1611-3349	978-3-031-20861-4; 978-3-031-20862-1				2022	13629						489	503		10.1007/978-3-031-20862-1_36	http://dx.doi.org/10.1007/978-3-031-20862-1_36													WOS:000897031800036
J	Almutairi, M; Nikitas, N; Abdeljaber, O; Avci, O; Bocian, M				Almutairi, Mohammad; Nikitas, Nikolaos; Abdeljaber, Osama; Avci, Onur; Bocian, Mateusz			A methodological approach towards evaluating structural damage severity using 1D CNNs	STRUCTURES												Evaluating the severity of structural damage is a critical component of Structural Health Monitoring (SHM). Convolutional Neural Networks (CNNs) have been used before to detect structural damage and evaluate its severity by utilising only raw vibration data. However, these vibration-based CNN applications were limited to discrete user-defined levels of damage. To provide a more accurate representation of structural damage, this paper aims to design and validate a framework for evaluating structural damage severity within a continuous range of damage levels, using 1D CNNs and distributed raw acceleration data. To this purpose, a simple Finite Element (FE) cantilever model with non-rigid rotational spring support was adopted. Damage was simulated at the support as reduction of the rotational spring stiffness. The performance of the proposed framework was assessed under different excitation scenarios and data pre-processing techniques. The results demonstrate the ability of 1D CNNs to evaluate damage severity with high accuracy. By estimating the reduced value of the rotational spring stiffness, the proposed framework can also be used towards FE model updating in parallel with damage severity evaluation.					Almutairi, Mohammad Sanad/KIJ-0105-2024; Bocian, Mateusz/AAU-2712-2020; Nikitas, Nikolaos/E-8010-2016; Abdeljaber, Osama/AAO-2663-2020; Avci, Onur/L-9803-2015	Almutairi, Mohammad Sanad/0009-0004-1698-2704; Nikitas, Nikolaos/0000-0002-6243-052X; Abdeljaber, Osama/0000-0003-0530-9552; Avci, Onur/0000-0003-0221-7126; Bocian, Mateusz/0000-0002-3539-5474													2352-0124					DEC	2021	34						4435	4446		10.1016/j.istruc.2021.10.029	http://dx.doi.org/10.1016/j.istruc.2021.10.029		OCT 2021											WOS:000712159900003
J	Bregon, A; Daigle, M; Roychoudhury, I; Biswas, G; Koutsoukos, X; Pulido, B				Bregon, Anibal; Daigle, Matthew; Roychoudhury, Indranil; Biswas, Gautam; Koutsoukos, Xenofon; Pulido, Belarmino			An event-based distributed diagnosis framework using structural model decomposition	ARTIFICIAL INTELLIGENCE												Complex engineering systems require efficient on-line fault diagnosis methodologies to improve safety and reduce maintenance costs. Traditionally, diagnosis approaches are centralized, but these solutions do not scale well. Also, centralized diagnosis solutions are difficult to implement on increasingly prevalent distributed, networked embedded systems. This paper presents a distributed diagnosis framework for physical systems with continuous behavior. Using Possible Conflicts, a structural model decomposition method from the Artificial Intelligence model-based diagnosis (DX) community, we develop a distributed diagnoser design algorithm to build local event-based diagnosers. These diagnosers are constructed based on global diagnosability analysis of the system, enabling them to generate local diagnosis results that are globally correct without the use of a centralized coordinator. We also use Possible Conflicts to design local parameter estimators that are integrated with the local diagnosers to form a comprehensive distributed diagnosis framework. Hence, this is a fully distributed approach to fault detection, isolation, and identification. We evaluate the developed scheme on a four-wheeled rover for different design scenarios to show the advantages of using Possible Conflicts, and generate on-line diagnosis results in simulation to demonstrate the approach. (C) 2014 Elsevier B.V. All rights reserved.					Biswas, Gautam/U-7354-2019; Bregon, Anibal/R-6700-2018; Pulido Junquera, BELARMINO/I-2506-2015	Bregon, Anibal/0000-0001-6752-1159; Biswas, Gautam/0000-0002-2752-3878; Pulido Junquera, BELARMINO/0000-0003-2340-684X; Daigle, Matthew/0000-0002-4616-3302; Roychoudhury, Indranil/0009-0002-1438-0510													0004-3702	1872-7921				MAY	2014	210						1	35		10.1016/j.artint.2014.01.003	http://dx.doi.org/10.1016/j.artint.2014.01.003													WOS:000334974800001
J	Khrouf, W; Siala, M; Abdelkefi, F				Khrouf, Wafa; Siala, Mohamed; Abdelkefi, Fatma			A Fair SINR Performance Comparison of FBMC/OQAM and FBMC/QAM Multicarrier Communication Systems in the Discrete-Time Framework	IEEE ACCESS												In the last couple of decades, multicarrier modulations have witnessed a considerable interest in wireless communication networks due to their ability to fight against multipath fading and offer multiple access with flexible resource sharing. One of the well known multicarrier modulation systems is filter-bank multi-carrier with an offset quadrature amplitude modulation (FBMC/OQAM), which was proposed as a powerful solution during the standardization of 5G. In this paper, we derive a closed-form expression of the signal to interference plus noise ratio (SINR) for FBMC/OQAM systems in the discrete-time context, for arbitrary wide sense stationary uncorrelated scattering (WSSUS) channels as well as transmitter (Tx) and receiver (Rx) waveforms. We quantify the potential gains in SINR brought by FBMC/OQAM, which exclusively operates on critical lattice density, with respect to FBMC/QAM, which have the flexibility to operate on critical or non-critical lattice densities. For completeness, we compare the performance of FBMC/OQAM in the discrete-time context, sweeping the discrete space of waveforms supports, with that of FBMC/OQAM in the continuous-time context, using the Hermite functions, and show how they perform similarly. Simulation results prove that FBMC/OQAM optimization algorithm, performing with the ping-pong optimized pulse shaping (POPS) paradigm, converges rapidly to excellent SINR values, even with small supports durations, in discrete-time context, which is equivalent to a reduced number of Hermite functions, in the continuous-time context.						Siala, Mohamed/0000-0002-5801-1656; Abdelkefi, Fatma/0000-0003-3523-2218													2169-3536						2022	10						107716	107728		10.1109/ACCESS.2022.3212725	http://dx.doi.org/10.1109/ACCESS.2022.3212725													WOS:000870234800001
