PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Suri, R; Desiraju, R				Suri, R; Desiraju, R			Performance analysis of flexible manufacturing systems with a single discrete material-handling device	INTERNATIONAL JOURNAL OF FLEXIBLE MANUFACTURING SYSTEMS												We present an analytical model for performance prediction of flexible manufacturing systems (FMSs) with a single discrete material-handling device (MHD). This configuration of FMS is significant for many reasons: it is commonly found in industry, it simplifies material-handling control, it is amenable to analytical modelling, and it forms a building block for more complex systems. Standard queueing models are inadequate to analyze this configuration because of the need to take into consideration many nontrivial issues such as state-dependent routing, interference from the MHD, and the analysis of the MHD. To account for state-dependent routing, we develop an iterative method that is built around mean value analysis. To analyze the MHD interference, we use two queueing network models. In the first, we ignore queueing at the MHD but model the interference from the MHD by inflating the station service times. The second network models the queueing for the MHD and estimates the blocking (inflation) times needed for the first model. By iterating between the two networks, we are able to predict the performance of this configuration of FMS. Our analytical estimates are validated against discrete event simulation and shown to be quite accurate for initial system design.					Suri, Rita S/G-3348-2011	Suri, Rita S/0000-0002-0519-3927													0920-6299					JUL	1997	9	3					223	249		10.1023/A:1007901028906	http://dx.doi.org/10.1023/A:1007901028906													WOS:A1997XW55800001
J	Bu, SR; Yu, FR; Liu, XPP; Tang, HL				Bu, Shengrong; Yu, F. Richard; Liu, Xiaoping P.; Tang, Helen			Structural Results for Combined Continuous User Authentication and Intrusion Detection in High Security Mobile Ad-Hoc Networks	IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS												Continuous user authentication is an important prevention-based approach to protect high security mobile ad-hoc networks (MANETs). On the other hand, intrusion detection systems (IDSs) are also important in MANETs to effectively identify malicious activities. Considering these two approaches jointly is effective in optimal security design taking into account system security requirements and resource constraints in MANETs. To obtain the optimal scheme of combining continuous user authentication and IDSs in a distributed manner, we formulate the problem as a partially observable Markov decision process (POMDP) multi-armed bandit problem. We present a structural results method to solve the problem for a large network with a variety of nodes. The policies derived from structural results are easy to implement in practical MANETs. Simulation results are presented to show the effectiveness and the performance of the proposed scheme.					Bu, Shengrong/AAF-2691-2019; Liu, Peter Xiaoping/E-5684-2014; Yu, F. Richard/B-3182-2018	Liu, Peter Xiaoping/0000-0002-8703-6967; Yu, F. Richard/0000-0003-1006-7594													1536-1276	1558-2248				SEP	2011	10	9					3064	3073		10.1109/TWC.2011.071411.102123	http://dx.doi.org/10.1109/TWC.2011.071411.102123													WOS:000297246300031
J	Chen, LH; Zhu, YZ; Ahn, CK				Chen, Liheng; Zhu, Yanzheng; Ahn, Choon Ki			Adaptive Neural Network-Based Observer Design for Switched Systems With Quantized Measurements	IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS												This study is concerned with the adaptive neural network (NN) observer design problem for continuous-time switched systems via quantized output signals. A novel NN observer is presented in which the adaptive laws are constructed using quantized measurements. Then, persistent dwell time (PDT) switching is considered in the observer design to describe fast and slow switching in a unified framework. Accurate estimations of state and actuator efficiency factor can be obtained by the proposed observer technique despite actuator degradation. Finally, a simulation example is provided to illustrate the effectiveness of the developed NN observer design approach.					Ahn, Choon Ki/I-2737-2012	Ahn, Choon Ki/0000-0003-0993-9658													2162-237X	2162-2388				SEP	2023	34	9					5897	5910		10.1109/TNNLS.2021.3131412	http://dx.doi.org/10.1109/TNNLS.2021.3131412		DEC 2021						34890344					WOS:000733516200001
J	Wang, JY; Cevik, M; Amin, SH; Parsaee, AA				Wang, Juyoung; Cevik, Mucahit; Amin, Saman Hassanzadeh; Parsaee, Amir Ali			Mixed-integer linear programming models for the paint waste management problem	TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW												Hazardous wastes have significant negative impacts on environment and people, which make their management a prominent task. A general hazardous waste reverse logistics network consists of sources, collection centers, treatment centers, processing/recycling facilities, and disposal facilities. We study a reverse logistics network specifically for household hazardous wastes and examine its difference from a non-hazardous and industrial waste network. We consider multiobjective mixed-integer deterministic and stochastic mathematical models that are designed to answer the following questions: which facilities or centers should be opened, which routes should be utilized, and how much waste should be transported to each location in order to minimize the transportation cost, transportation/site risk, and to maximize household convenience for the purpose of participation increase at collection stage. Specifically, we propose an optimization framework for the management of hazardous household wastes, and consider the waste paint network in the City of Toronto, Ontario, Canada as a test bed for our analysis. Finally, we provide easy-to-interpret visualization tools for the problem, which help interpreting the model outcomes and identifying policy insights.						Hassanzadeh Amin, Saman/0000-0001-6173-7530													1366-5545	1878-5794				JUL	2021	151								102343	10.1016/j.tre.2021.102343	http://dx.doi.org/10.1016/j.tre.2021.102343		JUN 2021											WOS:000663683600014
J	Altin, A; Amaldi, E; Belotti, P; Pinar, MÇ				Altin, A.; Amaldi, E.; Belotti, P.; Pinar, M. C.			Provisioning virtual private networks under traffic uncertainty	NETWORKS					Optimization 2004 Conference	JUL 25-28, 2004	Univ Lisbon, Lisbon, PORTUGAL	APDIO, CIO	Univ Lisbon			We investigate a network design problem under traffic uncertainty that arises when provisioning Virtual Private Networks (VPNs): given a set of terminals that must communicate with one another, and a set of possible traffic matrices, sufficient capacity has to be reserved on the links of the large underlying public network to support all possible traffic matrices while minimizing the total reservation cost. The problem admits several versions depending on the desired topology of the reserved links, and the nature of the traffic data uncertainty. We present compact linear mixed-integer programming formulations for the problem with the classical hose traffic model and for a less conservative robust variant relying on the traffic statistics that are often available. These flow-based formulations allow us to solve optimally medium-to-large instances with commercial MIP solvers. We also propose a combined branch-and-price and cutting-plane algorithm to tackle larger instances. Computational results obtained for several classes of instances are reported and discussed. (c) 2006 Wiley Periodicals, Inc.					Belotti, Pietro/J-5092-2012	Belotti, Pietro/0000-0001-6591-6886; ALTIN-KAYHAN, Aysegul/0000-0002-5372-3232													0028-3045	1097-0037				JAN	2007	49	1			SI		100	115		10.1002/net.20145	http://dx.doi.org/10.1002/net.20145													WOS:000242736900010
C	Wöllmer, M; Eyben, F; Schuller, B; Rigoll, G			INST SPEECH COMMUN ASSOC	Woellmer, Martin; Eyben, Florian; Schuller, Bjoern; Rigoll, Gerhard			Recognition of Spontaneous Conversational Speech using Long Short-Term Memory Phoneme Predictions	11TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION 2010 (INTERSPEECH 2010), VOLS 3 AND 4					11th Annual Conference of the International-Speech-Communication-Association 2010	SEP 26-30, 2010	Makuhari, JAPAN	Japan World Exposit, Commemorat Org, Japan Soc Promot Sci, Telecommunicat Advancement Fdn, KDDI Fdn, Murata Sci Fdn, Adv Telecommunicat Technol Res Fdn, Support Ctr, Chiba Convent Bur & Int Ctr, Renesas Elect Corp, Google, Microsoft Corp, Nuance Commun Inc, Appen Pty Ltd, IBM, Sony Corp, Hitachi Ltd, Yahoo Japan Corp, Asahi Kasei Corp, KDDI R & D Lab Inc, Yamaha Corp, Toshiba Corp, Fujitsu Ltd, Mitsubishi Elect Corp, RION Co Ltd, NEC Corp				We present a novel continuous speech recognition framework designed to unite the principles of triphone and Long Short-Term Memory (LSTM) modeling. The LSTM principle allows a recurrent neural network to store and to retrieve information over long time periods, which was shown to be well-suited for the modeling of co-articulation effects in human speech. Our system uses a bidirectional LSTM network to generate a phoneme prediction feature that is observed by a triphone-based large-vocabulary continuous speech recognition (LVCSR) decoder, together with conventional MFCC features. We evaluate both, phoneme prediction error rates of various network architectures and the word recognition performance of our Tandem approach using the COSINE database - a large corpus of conversational and noisy speech, and show that incorporating LSTM phoneme predictions in to an LVCSR system leads to significantly higher word accuracies.					Schuller, Björn Wolfgang/D-3241-2011	Schuller, Björn Wolfgang/0000-0002-6478-8699															978-1-61782-123-3				2010							1946	1949																WOS:000313086500099
J	Ma, XJ; Guo, MJ; Tong, X; Hou, ZF; Liu, HY; Ren, HY				Ma, Xuejie; Guo, Mengjun; Tong, Xin; Hou, Zhanfeng; Liu, Haiyang; Ren, Haiyan			Calibration of Small-Grain Seed Parameters Based on a BP Neural Network: A Case Study with Red Clover Seeds	AGRONOMY-BASEL												In order to enhance the accuracy of discrete element numerical simulations in the processing of small-seed particles, it is essential to calibrate the parameters of seeds within the discrete element software. This study employs a series of physical tests to obtain the physical and contact parameters of red clover seeds. A discrete element model of red clover seeds is established. Plackett-Burman Design, steepest ascent, and Central Composite Design experiments are sequentially conducted. The simulation deviation of the resting angle of red clover seeds is employed as the evaluation criterion for parameter optimization. The results indicate that the coefficients of static friction between red clover seeds, the coefficients of rolling friction between red clover seeds, and the coefficients of static friction between red clover seeds and the steel plates significantly influence the resting angle. Modeling was performed using a backpropagation neural network, a genetic algorithm-optimized BP network, particle swarm optimization, and simulated annealing. It was found that GA-BP ensured both accuracy and stability. Compared to the traditional response surface methodology, GA-BP showed better fitting performance. For the optimized red clover seed simulation, the error between the angle of repose and the physical experiment was 0.98%. This research provides new insights into the calibration of small-grain seed parameters, demonstrating the value of GA-BP for precision modeling.					Ren, Haiyan/I-1863-2019; Guo, Mengjun/JDX-1404-2023	Ren, Haiyan/0000-0002-2008-9626; Guo, Mengjun/0009-0004-9770-5281; Ma, Xuejie/0000-0003-0479-8331														2073-4395				NOV	2023	13	11							2670	10.3390/agronomy13112670	http://dx.doi.org/10.3390/agronomy13112670													WOS:001120875500001
J	Chang, HH; Chen, YK				Chang, Hsu-Hwa; Chen, Yan-Kwang			Neuro-genetic approach to optimize parameter design of dynamic multiresponse experiments	APPLIED SOFT COMPUTING												Engineers have widely applied the Taguchi method, a traditional approach for robust experimental design, to a variety of quality engineering problems for enhancing system robustness. However, the Taguchi method is unable to deal with dynamic multiresponse owing to increasing complexity of the product or design process. Although several alternative approaches have been presented to resolve this problem, they cannot effectively treat situations in which the control factors have continuous values. This study incorporates desirability functions into a hybrid neural network/genetic algorithm approach to optimize the parameter design of dynamic multiresponse with continuous values of parameters. The objective is to find the optimal combination of control factors to simultaneously maximize robustness of each response. The proposed approach is based on three stages which (1) use neural networks for constructing a response function model of a dynamic multiresponse system, (2) use exponential desirability functions for evaluating overall performance of a specific factor combination, and (3) use a genetic algorithm to optimize parameter design. Effectiveness of the proposed approach is illustrated with a simulated example. Analysis results reveal that the approach has higher performance than the traditional experimental design. (C) 2009 Elsevier B.V. All rights reserved.						Chang, Hsu-Hwa/0000-0002-8793-664X													1568-4946	1872-9681				JAN	2011	11	1					436	442		10.1016/j.asoc.2009.12.002	http://dx.doi.org/10.1016/j.asoc.2009.12.002													WOS:000281591300044
C	Hu, JJ; Zhou, F; Zhang, Y		Li, Z; Sun, J		Hu, Jiajia; Zhou, Feng; Zhang, Yi			Observer-based Event-triggered Control for a Class of Networked Control Systems under Denial of Service Attacks	2022 41ST CHINESE CONTROL CONFERENCE (CCC)	Chinese Control Conference				41st Chinese Control Conference (CCC)	JUL 25-27, 2022	Hefei, PEOPLES R CHINA	Chinese Assoc Automat, Tech Comm Control Theory, Syst Engn Soc China, Univ Sci & Technol China, Chinese Acad Sci, Acad Math & Syst Sci, China Soc Ind & Appl Math, Asian Control Assoc, IEEE Control Syst Soc, Inst Control, Robot & Syst, Soc Instrument & Control Engineers, Hefei Univ Technol, Anhui Univ, Univ Sci & Technol China, Inst Adv Technol, Hefei Comprehens Natl Sci Ctr, Inst Artificial Intelligence, Anhui Prov Assoc Automat, Anhui Robot Assoc				This paper is concerned with the observer-based control design for a continuous linear networked control systems under denial of service attacks. In order to save network communication resources, a new flexible event-triggered control strategy is designed on the premise that denial of service attacks are power-limited pulse width modulation interference. Considering this influence of denial of service attacks on event-triggered state, the maximum system performance lost is calculated. The sufficient conditions of system stability are derived by using the Lyapunov functional method. The constructive design of the controller is expressed in terms of linear matrix inequalities. Finally, the theoretical results are verified by a simulation example.																			2161-2927		978-988-75815-3-6				2022							959	964																WOS:000932071601013
J	Nassajian, G; Balochian, S				Nassajian, Gholamreza; Balochian, Saeed			Multi-model estimation using neural network and fault detection in unknown time continuous fractional order nonlinear systems	TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL												In this paper, multi-model estimation and fault detection using neural network is proposed for an unknown time continuous fractional order nonlinear system. Fractional differentiation is considered based on Caputo concept and the fractional order is considered to be between 0 and 1. In order to estimate a time continuous fractional order nonlinear system with unknown term in its dynamic, single-layer and double-layer RBF neural network is used. First, a parallel-series neural network observer is designed for state estimation. Weights of the neural network are updated adaptively and updating laws are presented in fractional order form. Using Lyapunov method, it is proved that state estimation error and weight estimation error of the neural network are bounded. Parameters of the neural estimator converge to ideal parameters which satisfy excitation condition stability. Then, multi-model estimation structure of fractional order nonlinear systems is presented and its application in fault detection is investigated. Finally, simulation results are presented to show efficiency of the proposed method.					Balochian, Saeed/AAN-3639-2021	Balochian, Saeed/0000-0003-3137-9167													0142-3312	1477-0369				FEB	2021	43	3					497	509	0142331220932376	10.1177/0142331220932376	http://dx.doi.org/10.1177/0142331220932376		JUN 2020											WOS:000545951700001
