PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Liang, JL; Wang, ZD; Liu, YR; Liu, XH				Liang, Jinling; Wang, Zidong; Liu, Yurong; Liu, Xiaohui			Global synchronization control of general delayed discrete-time networks with stochastic coupling and disturbances	IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS												In this paper, the synchronization control problem is considered for two coupled discrete-time complex networks with time delays. The network under investigation is quite general to reflect the reality, where the state, delays are allowed to be time varying with given lower and upper bounds, and the stochastic disturbances are assumed to be Brownian motions that affect not only the network coupling but also the overall networks. By utilizing the Lyapunov functional method combined with linear matrix inequality (LMI) techniques, we obtain several sufficient delay-dependent conditions that ensure the coupled networks to be globally exponentially synchronized in the mean square. A control law is designed to synchronize the addressed coupled complex networks in terms of certain LMIs that can be readily solved using the Matlab LMI toolbox. Two, numerical examples are presented to show the validity of our theoretical analysis results.					Wang, Zidong/H-1523-2011; Liu, Xiaohui/B-5046-2013; Liang, Jinling/N-1509-2016; Liu, Yurong/B-3955-2013	Wang, Zidong/0000-0002-9576-7401; Liu, Yurong/0000-0001-8035-288X													1083-4419	1941-0492				AUG	2008	38	4					1073	1083		10.1109/TSMCB.2008.925724	http://dx.doi.org/10.1109/TSMCB.2008.925724								18632398					WOS:000258183100025
J	Zhang, D; Wang, QG; Srinivasan, D; Li, HY; Yu, L				Zhang, Dan; Wang, Qing-Guo; Srinivasan, Dipti; Li, Hongyi; Yu, Li			Asynchronous State Estimation for Discrete-Time Switched Complex Networks With Communication Constraints	IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS												This paper is concerned with the asynchronous state estimation for a class of discrete-time switched complex networks with communication constraints. An asynchronous estimator is designed to overcome the difficulty that each node cannot access to the topology/coupling information. Also, the event-based communication, signal quantization, and the random packet dropout problems are studied due to the limited communication resource. With the help of switched system theory and by resorting to some stochastic system analysis method, a sufficient condition is proposed to guarantee the exponential stability of estimation error system in the mean-square sense and a prescribed H-infinity performance level is also ensured. The characterization of the desired estimator gains is derived in terms of the solution to a convex optimization problem. Finally, the effectiveness of the proposed design approach is demonstrated by a simulation example.					Zhang, Dan/ABD-4909-2021; Yu, Li/H-2783-2012; Li, Hongyi/B-1272-2012; Srinivasan, Dipti/D-1736-2016	Zhang, Dan/0000-0001-5140-3588; Srinivasan, Dipti/0000-0003-4877-3478; WANG, QG/0000-0002-3672-3716													2162-237X	2162-2388				MAY	2018	29	5					1732	1746		10.1109/TNNLS.2017.2678681	http://dx.doi.org/10.1109/TNNLS.2017.2678681								28368834					WOS:000430729100027
J	Yan, L; Zhang, SJ; Ding, DR; Liu, YR; Alsaadi, FE				Yan, Le; Zhang, Sunjie; Ding, Derui; Liu, Yurong; Alsaadi, Fuad E.			<i>H</i><sub>∞</sub> state estimation for memristive neural networks with multiple fading measurements	NEUROCOMPUTING												The attention of this paper is mainly concentrated on the H-infinity state estimator's design problem for a kind of discrete-time memristive neural networks (MNNs) with multiple fading measurements. The phenomenon of multiple fading measurements is represented by a set of individual stochastic variables obeying a predetermined distribution on interval [0,1]. Firstly, the augmented system comprised of MNNs and the dynamics of estimation errors are put forward to implement the performance analysis. Then, under the framework of the difference inclusion theory combined with the Lyapunov function method, several sufficient conditions are established to guarantee the exponential mean-square stability as well as H-infinity performance index. Furthermore, the desired estimator parameter is obtained in view of the solution of a convex optimization problem. In the end, an illustrative numerical example is exploited to check the reliability and usefulness of the design scheme in this paper.					Liu, Yurong/B-3955-2013; Alsaadi, Fuad E/Q-6022-2018; Ding, Derui/E-4679-2018; Ding, Derui/E-4679-2018	Ding, Derui/0000-0001-7402-6682; Ding, Derui/0000-0002-5476-4562													0925-2312	1872-8286				MAR 22	2017	230						23	29		10.1016/j.neucom.2016.11.033	http://dx.doi.org/10.1016/j.neucom.2016.11.033													WOS:000394061800002
C	Chen, XY		Zhou, XY; He, GJ; Xiao, HB; Yan, BF		Chen, Xiang-Yang			STUDY ON OPTIMIZATION DESIGN METHOD FOR DRY JET MIXING PILE	4TH INTERNATIONAL SYMPOSIUM ON LIFETIME ENGINEERING OF CIVIL INFRASTRUCTURE					4th International Symposium on Lifetime Engineering of Civil Infrastructure	OCT 26-28, 2009	Changsha, PEOPLES R CHINA	Yamaguchi Univ, Yonsei Univ, Lulea Univ, Denmark Tech Univ, Hunan Univ, Central S Univ, Changsha Univ Sci Technol, Hunan Univ Sci & Tech, Hunan Univ Tech, Nat Natural Sci Fdn China, Hunan Comm Surveying Design Inst				Aiming at the phenomenon of the more conservative design of dry jet mixing piles at present, based on genetic algorithm, neural network and particle swarm optimization, etc., used the cement consumption as the object function, taken replacement rate, water-cement ratio, pile diameter and pile length as the design variables, composite foundation bearing capacity and settlement as restrictive conditions, the optimal design models are established respectively based on genetic algorithm, particle swarm optimization and nonlinear optimization. Case studies have shown that the three established optimal design models are optimized with good results, in comparison, the PSO is the best one.																					978-7-03-026210-3				2009							976	979																WOS:000283472500152
J	Chen, JD; Wu, IT; Lien, CH; Lee, CT; Chen, RS; Yu, KW				Chen, Jenq-Der; Wu, I-Te; Lien, Chang-Hua; Lee, Chin-Tan; Chen, Ruey-Shin; Yu, Ker-Wei			Robust Exponential Stability for Uncertain Discrete-Time Switched Systems with Interval Time-Varying Delay through a Switching Signal	JOURNAL OF APPLIED RESEARCH AND TECHNOLOGY												This paper deals with the switching signal design to robust exponential stability for uncertain discrete-time switched systems with interval time-varying delay. The lower and upper bounds of the time-varying delay are assumed to be known. By construction of a new Lyapunov-Krasovskii functional and employing linear matrix inequality, some novel sufficient conditions are proposed to guarantee the global exponential stability for such system with parametric perturbations by using a switching signal. In addition, some nonnegative inequalities are used to provide additional degrees of freedom and reduce the conservativeness of systems. Finally, some numerical examples are given to illustrate performance of the proposed design methods.					Lien, C.H./K-7345-2019														1665-6423					DEC	2014	12	6					1187	1197		10.1016/S1665-6423(14)71677-3	http://dx.doi.org/10.1016/S1665-6423(14)71677-3													WOS:000347511100017
J	Zhu, XD; Xia, YQ; Wang, ML; Ma, SS				Zhu, Xiaodan; Xia, Yuanqing; Wang, Meiling; Ma, Sasa			Fault Detection for Discrete-Time Hybrid Systems via a Descriptor System Method	CIRCUITS SYSTEMS AND SIGNAL PROCESSING												This paper solves the problem of fault detection for discrete-time hybrid systems via a descriptor system method. These systems include control inputs, unknown bounded disturbances, and sensor faults. Based on the descriptor system method, a fault detection observer is designed to obtain the estimation of the states, outputs and faults, simultaneously. By means of the observer gain, the state error system is stochastically stable, and the disturbances effect on the residuals meets the performance index. The satisfactory sensitivity problem of the residuals to the faults is solved. A numerical example illustrates the effectiveness and applicability of the developed method.					MA, SS/JVP-2682-2024														0278-081X	1531-5878				SEP	2014	33	9					2807	2826		10.1007/s00034-014-9779-4	http://dx.doi.org/10.1007/s00034-014-9779-4													WOS:000340476500008
C	Yu, CL; Xu, HL; Huang, SQ			IEEE	Yu Chunlai; Xu Hualong; Huang Shiqi			Sliding Mode Control Based on Delay Estimation Online for Networked Control System with Model Uncertainties and Stochastic Less Delay	2008 IEEE CONFERENCE ON CYBERNETICS AND INTELLIGENT SYSTEMS, VOLS 1 AND 2	IEEE Conference on Cybernetics and Intelligent Systems				IEEE International Conference on Cybernetic Intelligent Systems (CIS 2008)	SEP 21-24, 2008	Chengdu, PEOPLES R CHINA	IEEE Syst, Man & Cybernet Soc, Singapore Chapter				A delay-dependent sliding mode control algorithm for the Networked Control System (NCS) with mismatched uncertainties and stochastic less delay is studied. Considering stochastic less delay of the NCS, delay estimation online is present. The delay iterative measuring and pretest parameters-based estimation methods are adopted. Loop delay estimation online is designed to overcome the adverse influence caused by time-varying delay. Considering mismatched uncertainties, an asymptotically stable sliding mode surface is designed by means of linear matrix inequality (LMI). The sufficient condition for the existence of sliding surface if gained by using LMI with delay depending. A discrete sliding mode control strategy based on the loop delay of estimation and the asymptotically stable sliding mode surface is present. The simulation experiment results show the effectiveness of the algorithm.																					978-1-4244-1673-8				2008							1283	1288																WOS:000269285300247
J	Lien, CH; Chen, JD; Lee, CT; Chen, RS; Yang, CD				Lien, Chang-Hua; Chen, Jenq-Der; Lee, Chin-Tan; Chen, Ruey-Shin; Yang, Chyi-Da			Robust <i>H</i>∞ filter design for discrete-time switched systems with interval time-varying delay and linear fractional perturbations: LMI optimization approach	APPLIED MATHEMATICS AND COMPUTATION												In this paper, the robust H-infinity filter scheme for the discrete-time switched systems with interval time-varying delay and linear fractional perturbations is proposed. A convex optimization problem with some LMI constraints is formulated to design the stable switched filter which minimizes the H-infinity norm bound for filtering error system. Some nonnegative inequalities and the free weighting matrix technique are used to provide the additional degree of freedom which improves the conservativeness of the proposed results. Finally, a numerical example is illustrated to show the use of the main results. (C) 2013 Elsevier Inc. All rights reserved.					Lien, C.H./K-7345-2019														0096-3003	1873-5649				AUG 15	2013	219	24					11395	11407		10.1016/j.amc.2013.05.036	http://dx.doi.org/10.1016/j.amc.2013.05.036													WOS:000322502900029
J	Ma, ZL; Li, XJ				Ma, Zhen-Lei; Li, Xiao-Jian			Data-driven fault detection for large-scale network systems: A mixed optimization approach	APPLIED MATHEMATICS AND COMPUTATION												This paper considers the fault detection (FD) problem for large-scale network systems with unknown system dynamic matrices. Compared with single systems, the FD problem is hardly solved due to the unmeasurable interconnection signals composed by neighboring subsystems states. To overcome this difficulty, the unmeasurable interconnection terms are estimated within the data-driven framework firstly. Then, a residual generator is designed in terms of the input and output data. Moreover, considered the freedom degree in design of the residual generator, an H-/H-infinity mixed optimization scheme is proposed to enhance the sensitivity to the actuator faults as well as the robustness against the measurement noises. Based on it, actuator faults with smaller magnitude can be detected. Also, the advantages and effectiveness of the proposed FD approach are verified by a numerical example. (C) 2022 Elsevier Inc. All rights reserved.					zheng, xin/JNS-5523-2023; Yin, Jing/KDO-6274-2024; Li, Kunpeng/KFS-6306-2024; meng, meng/KHW-8303-2024	Ma, Zhen Lei/0000-0002-7555-2606													0096-3003	1873-5649				AUG 1	2022	426								127134	10.1016/j.amc.2022.127134	http://dx.doi.org/10.1016/j.amc.2022.127134		APR 2022											WOS:000794201000004
J	Liu, CW; Fu, J; Xu, Q				Liu, Chaowei; Fu, Jie; Xu, Qiang			Simultaneous mixed-integer dynamic optimization for environmentally benign electroplating	COMPUTERS & CHEMICAL ENGINEERING												Hoist scheduling, especially cyclic hoist scheduling (CHS), is used to maximize the manufacturing productivity of electroplating processes. Water-reuse network design (WRND) for the electroplating rinsing system targets the optimal water allocation, such that fresh water consumption and wastewater generation are minimized. Currently, there is still a lack of studies on integrating CHS and WRND technologies for electroplating manufacturing. In this paper, a multi-objective mixed-integer dynamic optimization (MIDO) model has been developed to integrate CHS and WRND technologies for simultaneous consideration of productivity and water use efficiency for environmentally benign electroplating. The orthogonal collocation method on finite elements is employed to convert the MIDO problem into a mixed-integer nonlinear programming (MINLP) problem. The efficacy of the methodology is demonstrated by solving a real electroplating example. It demonstrates that the computational methods of production scheduling, process design, and dynamic optimization can be effectively integrated to create economic and environmental win-win situations for the electroplating industry. Published by Elsevier Ltd.																			0098-1354					NOV 15	2011	35	11					2411	2425		10.1016/j.compchemeng.2011.07.004	http://dx.doi.org/10.1016/j.compchemeng.2011.07.004													WOS:000295723900022
