PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Zhu, XL; Yang, GH			IEEE	Zhu, Xun-Lin; Yang, Guang-Hong			Quantized <i>H</i><sub>∞</sub> Controller Design for Networked Control Systems	2008 CHINESE CONTROL AND DECISION CONFERENCE, VOLS 1-11					20th Chinese Control and Decision Conference	JUL 02-04, 2008	Yantai, PEOPLES R CHINA					This paper studies problems of stability and stabilization for discrete-time networked control systems (NCSs) with an H performance bound via quantized state feedback. The effects of both the signal quantization and the network conditions are taken into consideration. In order to estimate the lower bound of quantization ranges directly, a new model of NCSs via quantized state feedback is presented, based on which a new quantized H. controller design method is proposed. A numerical example is given to illustrate the merit and effectiveness of the proposed methods.					Yang, Guanghong/IUQ-6499-2023																978-1-4244-1733-9				2008							357	362																WOS:000260562700069
C	Cao, HC; Li, W		Ge, W		Cao Huichao; Li Wei			Robust integrity design for uncertain NCS with actuator saturation based on discrete event-triggered communication scheme	MECHANICAL COMPONENTS AND CONTROL ENGINEERING III	Applied Mechanics and Materials				3rd Asian Pacific Conference on Mechanical Components and Control Engineering (ICMCCE)	SEP 20-21, 2014	Nankai Univ, Tianjin, PEOPLES R CHINA		Nankai Univ			This paper investigates the co-design problem of both robust integrity and the usage of communication resources for a class of actuator-saturated networked control system(NCS) based on a novel discrete event-triggered communication scheme(DETCS). First, a new model of NCS is established that parameter uncertainty, network-induced delay, actuator saturation and faults, and the state error arising from the DETCS are taken into consideration in a unified framework. Second, based on the model, the set of invariance condition of the closed-loop fault NCS with actuator saturation is proposed, which is the delay-dependent and event-dependent sufficient condition for ensuring the system stability. Then, a co-design approach which includes both robust fault-tolerant controller and the corresponding trigger weight matrix is given via linear matrix inequalities. The reciprocally convex combination lemma and the improved Jensen integral inequality are employed to deal with the derivative terms of the Lyapunov-Krasovakii functional, which can reduce the conservatism and computation of the results. Finally, a simulation example is used to demonstrate the advantage and the effectiveness of the proposed co-design approach, meanwhile, the quantitative relationship between the system performance and the communication resources is provided.																			1660-9336		978-3-03835-312-6				2014	668-669						581	587		10.4028/www.scientific.net/AMM.668-669.581	http://dx.doi.org/10.4028/www.scientific.net/AMM.668-669.581													WOS:000348898100125
C	Zong, XF; Li, T			IEEE	Zong, Xiaofeng; Li, Tao			Consensus of discrete-time second-order multi-agent systems with delayed and noisy measurements under balanced digraphs	2017 29TH CHINESE CONTROL AND DECISION CONFERENCE (CCDC)	Chinese Control and Decision Conference				29th Chinese Control And Decision Conference (CCDC)	MAY 28-30, 2017	Chongqing, PEOPLES R CHINA	NE Univ, State Key Lab Synthet Automat Proc Ind, IEEE Ind Elect Chapter, Chinese Assoc Automat, Tech Comm Control & Decis Cyber Phys Syst, Chongqing Univ, IEEE Control Syst Soc, Chinese Assoc Artificial Intelligence, Chinese Assoc Automat, Tech Comm Control Theory				This paper studies mean square and almost sure consensus of discrete-time second-order multi-agent systems with time-delays and multiplicative noises in the information exchange with neighbors. By using the stochastic stability theorem of discrete-time stochastic delay systems, we find sufficient conditions for mean square and almost sure consensus explicitly related to the network and control parameters. It is shown that if the network graph is balanced and strongly connected, then the weighted-average type control protocol can be properly designed to ensure mean square and almost sure consensus for any given time-delays and noise intensity coefficients.					Li, Tao/IWU-9607-2023; Zong, Xiaofeng/AAB-2431-2022	Zong, Xiaofeng/0000-0001-9486-5264													1948-9439		978-1-5090-4657-7				2017							7208	7213																WOS:000427082202110
J	Zhang, YR; Song, LY; Pan, M; Dawy, Z; Han, Z				Zhang, Yanru; Song, Lingyang; Pan, Miao; Dawy, Zaher; Han, Zhu			Non-Cash Auction for Spectrum Trading in Cognitive Radio Networks: Contract Theoretical Model With Joint Adverse Selection and Moral Hazard	IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS												In cognitive radio networks (CRNs), spectrum trading is an efficient way for secondary users (SUs) to achieve dynamic spectrum access and to bring economic benefits for the primary users (PUs). Existing methods require full payment from SU, which blocked many potential "buyers," and thus limited the PU's expected income. To better improve PUs' revenue from spectrum trading in a CRN, we introduce a financing contract, which is similar to a sealed non-cash auction that allows SU to do financing. Unlike previous mechanism designs in CRN, the financing contract allows the SU to only pay part of the total amount when the contract is signed, known as the down payment. Then, after the spectrum is released and utilized, the SU pays the rest of payment, known as the installment payment, from the revenue generated by utilizing the spectrum. The way the financing contract carries out and the sealed non-cash auction works similarly. Thus, contract theory is employed here as the mathematical framework to solve the non-cash auction problem and form mutually beneficial relationships between PUs and SUs. As the PU may not have the full acknowledgment of the SU's transmission status, the problems of adverse selection and moral hazard arise in the two scenarios, respectively. Therefore, a joint adverse selection and moral hazard model is considered here. In particular, we present three situations when either or both adverse selection and moral hazard are present during the trading. Furthermore, both discrete and continuous models are provided in this paper. Through simulations, we show that the adverse selection and moral hazard cases serve as the upper and lower bounds of the general case where both problems are present.					song, ling/GQZ-5934-2022; Song, Lingyang/G-9657-2018; Song, Lu yang/HPF-0922-2023; Han, Zhu/ABG-1222-2021	Song, Lingyang/0000-0001-8644-8241; Song, Lu yang/0009-0006-5587-1630; 													0733-8716	1558-0008				MAR	2017	35	3					643	653		10.1109/JSAC.2017.2672178	http://dx.doi.org/10.1109/JSAC.2017.2672178													WOS:000400412900010
J	Lou, QW; Pan, CY; McGuinness, J; Horvath, A; Naeemi, A; Niemier, M; Hu, XS				Lou, Qiuwen; Pan, Chenyun; McGuinness, John; Horvath, Andras; Naeemi, Azad; Niemier, Michael; Hu, X. Sharon			A Mixed Signal Architecture for Convolutional Neural Networks	ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS					3rd Workshop on Hardware Algorithms for Learning On-a-Chip (HALO)	NOV 16, 2017	Irvine, CA					Deep neural network (DNN) accelerators with improved energy and delay are desirable for meeting the requirements of hardware targeted for IoT and edge computing systems. Convolutional neural networks (CoNNs) belong to one of the most popular types of DNN architectures. This article presents the design and evaluation of an accelerator for CoNNs. The system-level architecture is based on mixed-signal, cellular neural networks (CeNNs). Specifically, we present (i) the implementation of different layers, including convolution, ReLU, and pooling, in a CoNN using CeNN, (ii) modified CoNN structures with CeNN-friendly layers to reduce computational overheads typically associated with a CoNN, (iii) a mixed-signal CeNN architecture that performs CoNN computations in the analog and mixed signal domain, and (iv) design space exploration that identifies what CeNN-based algorithm and architectural features fare best compared to existing algorithms and architectures when evaluated over common datasets-MNIST and CIFAR-10. Notably, the proposed approach can lead to 8.7x improvements in energy-delay product (EDP) per digit classification for the MNIST dataset at iso-accuracy when compared with the state-of-the-art DNN engine, while our approach could offer 4.3x improvements in EDP when compared to other network implementations for the CIFAR-10 dataset.					Horváth, András/AIB-9175-2022; Hu, Xiaobo/B-9367-2018	Hu, Xiaobo/0000-0002-6636-9738; Pan, Chenyun/0000-0001-9161-1728; Naeemi, Azad/0000-0003-4774-9046													1550-4832	1550-4840				JUN	2019	15	2			SI				19	10.1145/3304110	http://dx.doi.org/10.1145/3304110													WOS:000495422200006
C	Zhou, C; Xiang, ZR; Chen, QW			IEEE	Zhou, Chuan; Xiang, Zhengrong; Chen, Qinwei			Robust H<sub>∞</sub> State Feedback Controller Design for Networked Control System with Data Dropout	2008 7TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION, VOLS 1-23					7th World Congress on Intelligent Control and Automation	JUN 25-27, 2008	Chongqing, PEOPLES R CHINA	Chongqing Univ, Chongqing Inst Technol, Chongqing Univ Sci & Technol, Xihua Univ, SW Univ Sci & Technol, IEEE Robot & Automat Soc, IEEE Control Syst Soc, Beijing Chapter, Chinese Assoc Automat, Chinese Assoc Artificial Intell, Natl Nat Sci Fdn, Chongqing Municipal Sci & Technol Comm, Chongqing Municipal Assoc Sci & Technol, KC Wong Educ Fdn				In this paper, robust stabilization problems for Networked Control System (NCS) with data loss are investigated. We treat the data dropouts caused by network transmission data rate limit as a switch and obtain the discrete-time linear stochastic switch model for NCS. The stability analysis of closed-loop NCS with data dropout is studied, and a robust H-infinity state feedback controller is designed to deal with the disturbances and unexpected data loss due to uncertainty communication network. The stability analysis and controller design are based on LMI techniques.					Xiang, Zhengrong/I-4424-2012																978-1-4244-2113-8				2008							6387	6390																WOS:000259965705051
C	Mihel, J; Magjarevic, R		VanderSloten, J; Verdonck, P; Nyssen, M; Haueisen, J		Mihel, J.; Magjarevic, R.			FPGA based two-channel ECG sensor node for wearable applications	4TH EUROPEAN CONFERENCE OF THE INTERNATIONAL FEDERATION FOR MEDICAL AND BIOLOGICAL ENGINEERING	IFMBE Proceedings				4th European Conference of the International Federation for Medical and Biological Engineering (ECIFMBE)	NOV 23-27, 2008	Antwerp, BELGIUM					Emergence and development of pervasive healthcare applications demand new solutions for continuous and long-term individual's health condition monitoring and harmful event detection or, if possible, prediction. Such solutions include, among others, development of wearable, low power and intelligent devices capable of real-time decision making based on physiological parameter analysis. In recent years a large number of wearable devices were designed solely for the purposes of data acquisition and wireless transmission with intent that any further analysis would be done off-line. Prototypes of wearable devices capable for real time on-body physiological parameters processing are at the present time still scarce. Appearance of low power, mixed signal and flash based FPGAs presents new possibilities in development of small, wearable, intelligent and low power real-time biological signal processors used for physiological parameter extraction. Amongst many physiological signals ECG is the key parameter for evaluating an individual's well being. The ECG contains vast amounts of data closely related to a person's health condition and as such demands broad analysis. Given the complexity of the signal, valuable analysis in many applications can be performed only by using great computational power and professional knowledge. Efficient implementation of data extraction and harmful event detection algorithms from the ECG on mobile platforms is one of the most complex and important areas of research and development in pervasive healthcare applications. To meet the needs of mobile physiological parameters acquisition and analysis we are developing a network of generic wearable FPGA sensor nodes. One of such nodes is a two-channel ECG processor designed for long term real-time analysis and harmful event detection. The fore mentioned ECG node is presented in this paper.																			1680-0737		978-3-540-89207-6				2009	22	1-3					1208	1211																WOS:000299998500289
J	Cortinhal, MJ; Lopes, MJ; Melo, MT				Cortinhal, M. J.; Lopes, M. J.; Melo, M. T.			A multi-stage supply chain network design problem with in-house production and partial product outsourcing	APPLIED MATHEMATICAL MODELLING												We propose a mixed-integer linear programming model for a novel multi-stage supply chain network design problem. Our model integrates location and capacity choices for plants and warehouses with supplier and transportation mode selection, and the distribution of multiple products through the network. The aim is to identify the network configuration with the least total cost subject to side constraints related to resource availability, technological conditions, and customer service level requirements. In addition to in-house manufacturing, end products may also be purchased from external sources and consolidated in warehouses. Therefore, our model identifies the best mix between in-house production and product outsourcing. To measure the impact of this strategy, we further present two additional formulations for alternative network design approaches that do not include partial product outsourcing. Several classes of valid inequalities tailored to the problems at hand are also proposed. We test our models on randomly generated instances and analyze the trade-offs achieved by integrating partial outsourcing into the design of a supply chain network against a pure in-house manufacturing strategy, and the extent to which it may not be economically attractive to provide full demand coverage. (C) 2019 Elsevier Inc. All rights reserved.					Lopes, Maria João/P-2166-2019	Lopes, Maria João/0000-0002-1297-7244; Melo, Teresa/0000-0003-1412-0807													0307-904X	1872-8480				JUN	2019	70						572	594		10.1016/j.apm.2019.01.046	http://dx.doi.org/10.1016/j.apm.2019.01.046													WOS:000468714000032
J	Chen, GY; Sun, P; Zhang, JY				Chen, Guanyu; Sun, Peng; Zhang, Jieyong			Repair Strategy of Military Communication Network Based on Discrete Artificial Bee Colony Algorithm	IEEE ACCESS												After the military communications network is attacked by the enemy, in order to ensure that the information flow in the command and control organization can continue to be transmitted smoothly, the damaged network topology needs to be repaired in a timely and effective manner. The problem of repairing military communication network under the circumstance of nodes are hit in the network is described. This paper propose a method to repair damaged network by adding edges to the damaged network topology, which aims at maximizing network invulnerability. Network topological connection cost is based on average connection degree. The repair model is established with the consideration of connect cost limit and network connectivity. The model solving method based on discrete artificial bee colony algorithm is designed. Finally, proposed repair method is tested and compared with other three edge addition repair methods with a specific case of network. The experimental results show that the proposed method could enhance damaged network & x2019;s invulnerability and outperforms the compared methods.					Sun, Peng/KDO-4243-2024														2169-3536						2020	8						73051	73060		10.1109/ACCESS.2020.2987860	http://dx.doi.org/10.1109/ACCESS.2020.2987860													WOS:000530828600006
J	Sharma, S; Venkataraman, V; Ghosh, J				Sharma, Shivani; Venkataraman, Vivek; Ghosh, Joyee			Spectrally-Pure Integrated Telecom-Band Photon Sources in Silicon	JOURNAL OF LIGHTWAVE TECHNOLOGY												We demonstrate theoretically the direct (filter-free) generation of spectrally uncorrelated photon pairs, and consequently high-purity heralded single photons at telecommunication wavelengths, in SOI (silicon-on-insulator) nanowaveguides via spontaneous four-wave mixing (SFWM). The inherent strong waveguide dispersion in such high-index contrast structures is employed for discrete-band phase-matching in order to suppress the pair spectral correlations, and to produce photons in the fundamental spatial mode for easy in-out coupling to single-mode optical fibers. Additionally, by optimizing the source parameters like waveguide length, dispersion and pump bandwidth, the group-velocity of generated photons is also engineered to further eliminate spectral correlations. Extensive numerical mode simulations for various waveguide widths are used to design intrinsically pure photon sources via joint spectral amplitude (JSA) engineering. Purity > 95% is shown to be achievable in a silica-clad SOI waveguide with a cross-section 220 x 600 nm(2) for typical values of length and pump bandwidth. The wavelength of these heralded single photons can be tuned in the range of 1266-1363 nm (similar to O-band) by varying the pump wavelength. Considering the high accuracy provided by silicon nanofabrication techniques, the feasibility of generating single photons across the wavelength range 1333-1425 nm (E-band) and 1437-1510 nm (S-band) for slightly different waveguide widths (625 nm & 650 nm) is also demonstrated. These filter-free integrated photon sources could be important for large-scale linear optical quantum computation (LOQC) and long-distance fiber-optic quantum key distribution (QKD) networks.					Sharma, Shivani/IVH-7121-2023; Sharma, Shivani/JDM-2717-2023														0733-8724	1558-2213				DEC 1	2022	40	23					7529	7537		10.1109/JLT.2022.3188526	http://dx.doi.org/10.1109/JLT.2022.3188526													WOS:000900023600005
