PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Wan, FN; Burmin, VY				Wan, FN; Burmin, VY			An algorithm for the numerical construction of <i>C</i>-optimal designs:: A case study of the design of seismological observations networks	IZVESTIYA-PHYSICS OF THE SOLID EARTH												The MINCOND algorithm is proposed for the numerical construction of discrete C-optimal designs. The efficiency of the MINCOND algorithm is illustrated by solving the problem of seismic observation network design. The algorithm allows one to find C-optimal designs of a large dimension.					Burmin, Valeriy/L-3919-2018														1069-3513					SEP	2001	37	9					717	723																WOS:000171349700003
J	Xu, QY; Zhang, YJ; He, WL; Xiao, SY				Xu, Qiyi; Zhang, Yijun; He, Wangli; Xiao, Shunyuan			Event-triggered networked <i>H</i><sub>∞</sub> control of discrete-time nonlinear singular systems	APPLIED MATHEMATICS AND COMPUTATION												This paper is concerned with H-infinity controller design for a class of discrete-time nonlinear singular system which is controlled over a communication network. The network-induced delay is considered, and its distribution characteristic is described by a Bernoulli stochastic variable. A novel event-triggered control scheme is proposed in order to save the limited network communication bandwidth. Based on the Lyapunov-Kravoskii stability theory, a delay-distribution-dependent criterion is derived which guarantees the closed-loop networked discrete-time nonlinear singular system is regular, causal, and stable with a certain H-infinity performance index. A co-design method for the H-infinity controller and the event-triggered scheme is presented by using the singular value decomposition technology. An numerical example is given to illustrate the effectiveness of the proposed method. (C) 2016 Elsevier Inc. All rights reserved.					Xu, Qiyi/AAH-6641-2020; Zhang, Yijun/DJB-2587-2022	Zhang, Yijun/0000-0002-5572-2831													0096-3003	1873-5649				APR 1	2017	298						368	382		10.1016/j.amc.2016.11.010	http://dx.doi.org/10.1016/j.amc.2016.11.010													WOS:000392785400028
J	Shah, D; Mehta, A				Shah, Dipesh; Mehta, Axay			Discrete-time sliding mode controller subject to real-time fractional delays and packet losses for networked control system	INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS												The communication delay and packet loss are two major concerns in Networked Control System as it deteriorates the performance of the system. In this paper, a novel approach for designing a discrete-time sliding mode controller using Thiran's delay approximation is presented considering the real time networked medium and packet loss situation. Thiran's delay approximation technique is used to compensate the controller to actuator fractional delay as well as sensor to controller fractional delay in the sliding surface. Further, the stability condition for the closed loop system with proposed controller is derived using Lyapunov function. The efficacy of the proposed strategy is endowed by simulation results that are conceded in the presence of CAN and Switched Ethernet communication medium.					Shah, Dipesh/AAJ-5972-2020; Mehta, Axaykumar J/A-3309-2015	Mehta, Axaykumar J/0000-0002-3509-2705; Shah, Dipesh/0000-0003-0184-3176													1598-6446	2005-4092				DEC	2017	15	6					2690	2703		10.1007/s12555-016-0761-8	http://dx.doi.org/10.1007/s12555-016-0761-8													WOS:000417737300024
J	Liu, T; Huang, J				Liu, Tao; Huang, Jie			Discrete-Time Distributed Observers Over Jointly Connected Switching Networks and an Application	IEEE TRANSACTIONS ON AUTOMATIC CONTROL												In this article, we first establish an exponential stability result for a class of linear switched systems and then apply this result to show the existence of the distributed observer for a discrete-time leader system over jointly connected switching networks. Then, we further develop the adaptive distributed observer for the discrete-time leader system over jointly connected switching networks, which has the advantage over the distributed observer in that, it does not require that every follower subsystem know the system matrix of the leader system. As an application of the discrete-time distributed observer, we solve the cooperative output regulation problem of a discrete-time linear multiagent system over jointly connected switching networks. A leader-following formation problem of mobile robots is used to illustrate our design.					Huang, Jie/A-2790-2011; Liu, Tao/M-6048-2013; Huang, Jie/GWQ-5005-2022														0018-9286	1558-2523				APR	2021	66	4					1918	1924		10.1109/TAC.2020.2998933	http://dx.doi.org/10.1109/TAC.2020.2998933													WOS:000634485900045
J	Qi, JJ; Lei, L; Zheng, K; Yang, SX; Shen, XM				Qi, Jiaju; Lei, Lei; Zheng, Kan; Yang, Simon X.; Shen, Xuemin			Optimal Scheduling in IoT-Driven Smart Isolated Microgrids Based on Deep Reinforcement Learning	IEEE INTERNET OF THINGS JOURNAL												In this article, we investigate the scheduling issue of diesel generators (DGs) in an Internet of Things (IoT)-Driven isolated microgrid (MG) by deep reinforcement learning (DRL). The renewable energy is fully exploited under the uncertainty of renewable generation and load demand. The DRL agent learns an optimal policy from history renewable and load data of previous days, where the policy can generate real-time decisions based on observations of past renewable and load data of previous hours collected by connected sensors. The goal is to reduce operating cost on the premise of ensuring supply-demand balance. In specific, a novel finite-horizon partial observable Markov decision process (POMDP) model is conceived considering the spinning reserve. In order to overcome the challenge of discrete-continuous hybrid action space due to the binary DG switching decision and continuous energy dispatch (ED) decision, a DRL algorithm, namely, the hybrid action finite-horizon RDPG (HAFH-RDPG), is proposed. HAFH-RDPG seamlessly integrates two classical DRL algorithms, i.e., deep Q-network (DQN) and recurrent deterministic policy gradient (RDPG), based on a finite-horizon dynamic programming (DP) framework. Extensive experiments are performed with real-world data in an IoT-driven MG to evaluate the capability of the proposed algorithm in handling the uncertainty due to interhour and interday power fluctuation and to compare its performance with those of the benchmark algorithms.					ZHENG, KAN/KHU-7684-2024; Yang, Simon X./A-4399-2008; Shen, Xuemin/AAH-2564-2020	ZHENG, KAN/0000-0002-8531-6762; Yang, Simon X./0000-0002-6888-7993; Shen, Xuemin/0000-0002-4140-287X													2327-4662					SEP 15	2023	10	18					16284	16299		10.1109/JIOT.2023.3267625	http://dx.doi.org/10.1109/JIOT.2023.3267625													WOS:001085214200044
J	Wei, KJ; Vaze, V; Jacquillat, A				Wei, Keji; Vaze, Vikrant; Jacquillat, Alexandre			Airline Timetable Development and Fleet Assignment Incorporating Passenger Choice	TRANSPORTATION SCIENCE												Flight timetabling can greatly impact an airline's operating profit, yet data-driven or model-based solutions to support it remain limited. Timetabling optimization is significantly complicated by two factors. First, it exhibits strong interdependencies with subsequent fleet assignment decisions of the airlines. Second, flights' departure and arrival times are important determinants of passenger connection opportunities, of the attractiveness of each (nonstop or connecting) itinerary, and, in turn, of passengers' booking decisions. Because of these complicating factors, most existing approaches rely on incremental timetabling. This paper introduces an original integrated optimization approach to comprehensive flight timetabling and fleet assignment under endogenous passenger choice. Passenger choice is captured by a discrete-choice generalized attraction model. The resulting optimization model is formulated as a mixed-integer linear program. This paper also proposes an original multiphase solution approach, which effectively combines several heuristics, to optimize the network-wide timetable of a major airline within a realistic computational budget. Using case study data from Alaska Airlines, computational results suggest that the combination of this paper's model formulation and solution approaches can result in significant profit improvements as compared with the most advanced incremental approaches to flight timetabling. Additional computational experiments based on several extensions also demonstrate the benefits of this modeling and computational framework to support various types of strategic airline decision making in the context of frequency planning, revenue management, and postmerger integration.						Vaze, Vikrant/0000-0002-8142-2461													0041-1655					JAN-FEB	2020	54	1					139	163		10.1287/trsc.2019.0924	http://dx.doi.org/10.1287/trsc.2019.0924													WOS:000514210800008
J	Tutschku, K; Tran-Gia, P				Tutschku, K; Tran-Gia, P			Spatial traffic estimation and characterization for mobile communication network design	IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS												This paper presents a new method for the estimation and characterization of the expected teletraffic in mobile communication networks. The method considers the teletraffic from the network viewpoint. The traffic estimation is based on the geographic traffic model, which obeys the geographical and demographical factors for the demand for mobile communication services. For the spatial teletraffic characterization, a novel representation technique Is introduced which uses the notion of discrete demand nodes. We show how the information in geographical information systems can be used to estimate the teletraffic demand in an early phase of the network design process. Additionally, we outline how the discrete demand node representation facilitates the application of demand-based automatic mobile network design algorithms.					Tutschku, Kurt/B-4310-2013	Tutschku, Kurt/0000-0003-4814-4428													0733-8716					JUN	1998	16	5					804	811		10.1109/49.700914	http://dx.doi.org/10.1109/49.700914													WOS:000074396600017
J	Obiri, SA; Bo, S; Agyeman, BT; Debnath, S; Decardi-Nelson, B; Liu, JF				Obiri, Sandra A.; Bo, Song; Agyeman, Bernard T.; Debnath, Sarupa; Decardi-Nelson, Benjamin; Liu, Jinfeng			Optimizing the switching operation in monoclonal antibody production: Economic MPC and reinforcement learning	CHEMICAL ENGINEERING RESEARCH & DESIGN												Monoclonal antibodies (mAbs), crucial in medicine and biopharmaceuticals, require optimized large-scale production to meet high clinical dosage demands. Most of the processes for industrial mAb production rely on fed-batch operations, resulting in significant downtime. Transitioning to fully continuous and integrated processes holds the potential to boost product yield, enhance quality, and reduce storage costs for intermediate products. The integrated continuous mAb production process can be divided into the upstream and downstream processes. One crucial aspect that ensures the continuity of the integrated process is the switching of the capture columns, which are typically chromatography columns operated in a fed-batch manner downstream. Due to the discrete nature of the switching operation, advanced process control algorithms such as economic MPC (EMPC) are computationally difficult to implement. This is because an integer nonlinear program (INLP) needs to be solved online at each sampling time.This paper introduces two computationally-efficient approaches for EMPC implementation, namely, a sigmoid function approximation approach and a rectified linear unit (ReLU) approximation approach. It also explores the application of deep reinforcement learning (DRL). These three methods are compared to the traditional switching approach which is based on a 1 % product breakthrough rule and which involves no optimization.(c) 2023 Institution of Chemical Engineers. Published by Elsevier Ltd. All rights reserved.					Decardi-Nelson, Benjamin/JQW-0212-2023; Liu, Jinfeng/M-5379-2013	Liu, Jinfeng/0000-0001-8873-847X													0263-8762	1744-3563				NOV	2023	199						61	73		10.1016/j.cherd.2023.09.032	http://dx.doi.org/10.1016/j.cherd.2023.09.032		OCT 2023											WOS:001088572200001
J	Zhang, H; Chen, XB; Ye, RY; Stamova, I; Cao, J				Zhang, Hai; Chen, Xinbin; Ye, Renyu; Stamova, Ivanka; Cao, Jinde			Quasi-projective synchronization analysis of discrete-time FOCVNNs via delay-feedback control	CHAOS SOLITONS & FRACTALS												In this article, the quasi-projective synchronization (QPS) issues about discrete-time fractional-order complex valued neural networks (DFOCVNNs) are discussed. To realize QPS, the delay-feedback controllers are designed. The main advantage of this controller is that it can search for control gain parameters over a wider range. Applying inequality techniques, Lyapunov method and some lemmas related to discrete fractional calculus, some criteria for QPS are inferred. Meanwhile, the error bound is effectively estimated. Eventually, we display two examples to verify the obtained criteria.					Stamova, Ivanka M/AAQ-1586-2020; Zhang, Hai/F-5092-2013; Cao, Jinde/D-1482-2012; Zhang, Hai/C-9960-2018	Stamova, Ivanka M/0000-0001-6723-2699; Cao, Jinde/0000-0003-3133-7119; Zhang, Hai/0000-0002-7183-9570; Chen, Xinbin/0000-0001-9698-2472													0960-0779	1873-2887				AUG	2023	173								113629	10.1016/j.chaos.2023.113629	http://dx.doi.org/10.1016/j.chaos.2023.113629		JUN 2023											WOS:001053548100001
C	Liu, ML; Tornatore, M; Mukherjee, B			Optical Society of America	Liu, Menglin; Tornatore, Massimo; Mukherjee, Biswanath			Efficient Shared Subconnection Protection in Mixed-Line-Rate Optical WDM Networks	2011 OPTICAL FIBER COMMUNICATION CONFERENCE AND EXPOSITION (OFC/NFOEC) AND THE NATIONAL FIBER OPTIC ENGINEERS CONFERENCE					Conference on Optical Fiber Communication (OFC)/National Fiber Optic Engineers Conference(NFOEC)	MAR 06-10, 2011	Los Angeles, CA					Employing Mixed Line Rates (MLR) in optical WDM networks enables new paradigms for protection. We propose to design transparent MLR networks with shared subconnection protection and achieve significant cost reduction. (C) 2011 Optical Society of America					Tornatore, Massimo/AAJ-5988-2020; Mukherjee, Biswanath/C-9299-2013	Tornatore, Massimo/0000-0003-0740-1061; 															978-1-55752-906-0				2011																								WOS:000295517900248
